"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
3465	"Dead Leaves"	"http://www.rockit.it/deadleaves"	"Band, Piemonte"	"0"	"Rock, Psichedelico, Dark "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
3466	"DEAD MAN SURPRISE"	"http://www.rockit.it/deadmansurprise"	"Band, Toscana"	"0"	"Rock, Punk, Indie "	"url(/thumb700x250/foto/52214.jpg)"	"[""/user/deadmansurprise""]"	"\n<div class=""content-rece""></div>\n"	"[]"
3467	"Dead Man Watching"	"http://www.rockit.it/deadmanwatching"	"Band, Verona, Veneto"	"1"	"Folk, Slow-core, Alt-country "	"url(/thumb700x250/foto/8735.jpg)"	"[""/recensione/21231/dead-man-watching-love-come-on"",""/recensione/12815/dead-man-watching-dead-man-is-coming-to-town"",""/recensione/7350/dead-man-watching-st"",""/user/CabezonRecords"",""/user/deadmanwatching""]"	"\n<div class=""content-rece""><p>Come on Dead Man!</p> <p>I don&apos;t know where it ends,<br>\nmy music has never felt so bad,<br>\nclosed down, for sale, it has no chance<br>\nto be played loud in the air.<br>\n<br>\nAnd winter comes here to freeze<br>\nbodies and souls and energy.<br>\nIt makes me see the cage I&apos;m in,<br>\nit should be automatic to be free.<br>\n<br>\nTen dead songs and nobody knows but me,<br>\nten dead songs and nobody moans but me,<br>\nwhen all is pornography<br>\nyou kill, kill kill,<br>\nkill, kill, kill.<br>\n<br>\nMayday! I&apos;m gonna crack,<br>\nyou&apos;ll find my pieces on the ground.<br>\nSad memories I left they&apos;re here to hurt again,<br>\nand I can feel the cage I&apos;m in<br>\nit should be automatic to be free.<br>\n<br>\nTen dead songs and nobody knows but me,<br>\nten dead songs and nobody moans but me,<br>\nif this was pornography...<br>\nAnd you get one more damned song<br>\nbut I&apos;m not pornography,<br>\nyou kill, kill, kill,<br>\nkill, kill, kill,<br>\noh you have just killed, killed, killed,<br>\nkilled, killed, killed.</p></div>\n"	"[{""name"":""Love, come on!"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21231.jpg"",""link"":""http://www.rockit.it/deadmanwatching/album/love-come-on/21231""},{""name"":""Dead Man is coming to town"",""date"":"" 2010 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/12815.jpg"",""link"":""http://www.rockit.it/deadmanwatching/album/dead-man-is-coming-to-town/12815""},{""name"":""S/t"",""date"":"" 2007 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/7350.jpg"",""link"":""http://www.rockit.it/deadmanwatching/album/st/7350""},{""name"":""join the CABEZON vol.1"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22304.jpg"",""link"":""http://www.rockit.it/compilation/join-the-cabezon-vol1/22304""}]"
3468	"Dead Man's Miracle"	"http://www.rockit.it/deadmansmiracle"	"Band, Cuneo, Piemonte"	"0"	"Stoner, Rock, Grunge "	"url(/thumb700x250/foto/80559.jpg)"	"[""/user/Musizzano""]"	"\n<div class=""content-rece""><p>Da Cuneo, crossover alternative/stoner dove le radici del blues e il gospel si mischiano a sonorit&#xE0; pi&#xF9; contemporanee.</p> <p>Nati nel 2010 come Nothing To Lose in seguito ad un fortunato incontro durante una jam session, Davide Musizzano (voce), Claudio Bozzolasco (chitarra), Daniele &quot;Coqua&quot; Senzacqua (Basso) e Luca Michelotti (batteria) decidono, dopo un anno passato esibendosi su numerosi palchi delle province di Cuneo, Torino e Savona, che &#xE8; arrivato il momento di dare sfogo alla propria vena creativa scrivendo brani propri. La forte passone per la musica blues dei primi anni Trenta, per la sua profonda intensit&#xE0; e per il suo misterioso lato oscuro costituisce la solida base di partenza su cui iniziano a prendere forma le sonorit&#xE0; peculiari della band, sulle quali per&#xF2; non stentano ad inserirsi ed a diventare protagonisti elementi decisamente pi&#xF9; rock mutuati da grandi nomi degli anni Settanta, Led Zeppelin Black Sabbath in particolare. Non solo. L&apos;eredit&#xE0; degli anni Novanta lasciata soprattutto da Alice In Chains, Soundgarden, Kyuss e Queen Of Stone Age chiude il cerchio delle influenze care alla band, il cui sound, diventuto ora pi&#xF9; personale, si identifica entro le coordinate di un hard rock che richiama qualche passaggio blues con marcate contaminazione di stoner rock. Il 2012 &#xE8; l&apos;anno che segna la completa realizzazione del progetto. A sancire il passaggio da cover band a band con una propria personale identit&#xE0; contribuisce il cambio di nome in Dead Man&apos;s Miracle e la realizzazione di undici brani. Fil rouge &#xE8; la continua lotta per trovare la libert&#xE0; del corpo e dello spirito, scongiurando falsi idoli in una cornice che rievoca i canti degli schiavi neri nelle piantagioni di cotone del Mississippi, le radici del blues ed il gospel, in una strana dimensione dove cristianesimo, voodoo e schiavit&#xF9; si rincorrono tra sacro e profano.</p></div>\n"	"[{""name"":""Fables"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/23578.jpg"",""link"":""http://www.rockit.it/deadmansmiracle/album/fables/23578""}]"
3469	"Dead Models"	"http://www.rockit.it/deadmodels"	"Band, Alessandria, Piemonte"	"4"	"Rock, Indie "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/18254/dead-models-hcol-high-cost-of-living-high-cost-of-loving"",""/news/prima-edizione-2-days-off-lunedi-ad-alessandria-cn"",""/news/stati-generali-rock-ecco-vincitori"",""/user/dd247244m""]"	"\n<div class=""content-rece""><p>Since 2002 with LUV -</p> <p>La band alessandrina, superato il decimo anno di vita, pu&#xF2; vantare alcuni traguardi importanti quali L&apos;Arezzo Wave e il Traffic Festival oltre ad alcune trasferte di tutto rispetto come quella al Bilbo Rock Fest (Spagna). Odiano le etichette e le sfumature di generi e si dichiarano portatori (sani) di un certo tipo di rock, s&#xEC; indipendente, ma slegato da mode del momento a favore di un suono personale e rintracciabile in alcune frange deviate del post punk e dell&apos;indie americano.</p></div>\n"	"[{""name"":""HCOL - High Cost of Living / High Cost of Loving"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/18254.jpg"",""link"":""http://www.rockit.it/deadmodels/album/hcol-high-cost-of-living-high-cost-of-loving/18254""},{""name"":""demo 2004"",""date"":"" 2004 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/3489.jpg"",""link"":""http://www.rockit.it/deadmodels/album/demo-2004/3489""},{""name"":"""",""date"":"""",""cover"":""http://www.rockit.itundefined"",""link"":""http://www.rockit.itundefined""},{""name"":"""",""date"":"""",""cover"":""http://www.rockit.itundefined"",""link"":""http://www.rockit.itundefined""},{""name"":"""",""date"":"""",""cover"":""http://www.rockit.itundefined"",""link"":""http://www.rockit.itundefined""},{""name"":"""",""date"":"""",""cover"":""http://www.rockit.it/thumb70x70/avatar/3682.jpg"",""link"":""http://www.rockit.itundefined""}]"
3470	"Dead Poets"	"http://www.rockit.it/deadpoets"	"Band, Marche"	"0"	"Crossover, Hard Rock, Nu-Metal "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/news/dead-poets-tour-centro-america"",""/news/era-zero-attack-to-europe-tour-2005"",""/user/gully""]"	"\n<div class=""content-rece""></div>\n"	"[]"
3471	"Dead River"	"http://www.rockit.it/deadriver"	"Band, Toscana"	"0"	"Strumentale, Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/9615/dead-river-st"",""/user/deadriver""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""S/t"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9615.jpg"",""link"":""http://www.rockit.it/deadriver/album/st/9615""}]"
3472	"Dead Ronnies"	"http://www.rockit.it/deadronnies"	"Band, Bologna, Emilia Romagna"	"0"	"Rock "	"url(/thumb700x250/foto/73058.jpg)"	"[""/user/DeadRonnies""]"	"\n<div class=""content-rece""><p>We sound better when you&apos;re drunk!</p> <p>Non c&apos;&#xE8; un&apos;etichetta da applicare ai Dead Ronnies.<br>\nIl quintetto, composto da Slade, Robb, Juzz, Tig e B, si incontra a Bologna nel 2009 per fondere le proprie influenze (dal sound scandinavo di Hellacopters e Backyard Babies, passando per bluesacci sporchi conditi con un pizzico di southern rock) per arrivare ad un proprio stile caratterizzato principalmente dalla voglia di divertirsi e divertire suonando, lontano da virtuosismi psichedelici da taglio delle vene.<br>\nNel 2010, prodotti da Vincenzo Pastano (Luca Carboni, Pulp Dogs e Araliya) e Antonello D&#x2019;Urso (Pulp Dogs e Araliya), mettono insieme un live in studio che d&#xE0; un assaggio diretto di quello che sar&#xE0; il debutto &quot;Another Sip&quot;, prodotto da Nick Ciarmatori e previsto l&apos;inizio del 2013 e dei live, situazione che la band predilige, riscuotendo consensi in giro per Emilia Romagna, Lombardia e Toscana e dando il massimo per tenere fede alla loro filosofia che potrebbe essere riassunta in &#x201C;voi dateci dentro con le birre e noi faremo il resto&#x201D;. <br>\n<br>\nLine-up<br>\nSlade: Voce<br>\nB: Chitarra ritmica<br>\nTig: Chitarra ritmica e solista<br>\nJuzz: Basso<br>\nRobb: Batteria</p></div>\n"	"[{""name"":""Another Sip"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21907.jpg"",""link"":""http://www.rockit.it/deadronnies/album/another-sip/21907""}]"
3473	"Dead Shrimp"	"http://www.rockit.it/deadshrimp"	"Band, Roma, Lazio"	"1"	"Rock, Blues "	"url(/thumb700x250/foto/114600.jpg)"	"[""/recensione/30715/dead-shrimp-how-big-is-your-soul"",""http://www.rockit.it/compilation/rockit-vol-74/32643"",""/user/deadshrimp""]"	"\n<div class=""content-rece""><p>Dead Shrimp, blues / rock band da Roma</p> <p>Dead Shrimp nasce nel 2010 dall&apos;incontro tra Alessio Magliocchetti Lombi (chitarra slide), Sergio De felice (voce) e Gianluca Giannasso (batteria, voce).<br>\nL&apos;omonimo esordio dei Dead Shrimp nel 2013 era stato un caso italiano, un fulmine a ciel sereno capace di inserire finalmente anche Roma sulla mappa del blues internazionale. Grazie a &apos;Dead Shrimp&apos; i tre musicisti hanno portato su e gi&#xF9; per lo stivale la loro visione del blues, suonando incessamente. <br>\nNell&apos;arco di pochi anni sono arrivati a condividere il palco con artisti del livello di Luke Winslow King, Luther Dickinson e Mariem Hassan,  oltre ad aver aperto il concerto romano del gettonatissimo country singer Jonathan Wilson.<br>\n&apos;How Big Is Your Soul?&apos;, il secondo album dei Dead Shrimp, uscir&#xE0; per Goodfellas records il 13 Novembre 2015.<br>\nSul nuovo album oltre all&apos;affiatato trio composto da Alessio, Sergio e Gianluca partecipano in veste di guest il chitarrisita Reed Turchi dell&apos;etichetta discografica americana Devil Down records e Roberto Luti di Playing For Change. &apos;How Big Is Your Soul? &#xE8; un album blues eterogeno in cui non mancano episodi dalle atmosfere pi&#xF9; dilatate ed altre pi&#xF9; intimiste e cupe.</p></div>\n"	"[{""name"":""How Big Is Your Soul?"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/30715.jpg"",""link"":""http://www.rockit.it/deadshrimp/album/how-big-is-your-soul/30715""},{""name"":""Rockit Vol. 74"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/32643.jpg"",""link"":""http://www.rockit.it/compilation/rockit-vol-74/32643""}]"
3474	"Dead Track"	"http://www.rockit.it/deadtrack"	"Band, Lombardia"	"0"	"Hard Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/deadtrack""]"	"\n<div class=""content-rece""></div>\n"	"[]"
