"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
565	"Alessandro Russo"	"http://www.rockit.it/alessandrorusso"	"Band, Bologna, Emilia Romagna"	"1"	"Strumentale, Pop, Alternativo "	"url(/thumb700x250/foto/84312.jpg)"	"[""/recensione/24481/alessandro-russo-assediati-dallesercito-russo-e-cinti-dalle-mura-guardavamo-il-cielo"",""/user/AlessandroVariusRusso""]"	"\n<div class=""content-rece""><p>www.alessandrovariusrusso.com</p> <p>Alessandro &quot;Varius&quot; Russo nasce a Stoccarda nel 1986, intraprendendo in giovanissima et&#xE0; gli studi di pianoforte con il M&#xB0; Nelly Pomponio. Si laurea al DAMS dell&apos;Universit&#xE0; di Bologna con una tesi sul cinema di Franco Battiato dal titolo &quot;Niente &#xE8; come sembra&quot;. Collabora come autore e pianista con la progressive band &quot;Aedos Cluster of the Waterfall&quot;, con il cantautore romano Alessandro Orlando Graziano e con Luca Urbani (Soerba, Zerouno).<br>\nAlcuni dei suoi brani passano all&apos;interno del catalogo musicale della Zentropa Music, parte della Zentropa Production di Lars von Trier e Peter Aalbeck Jensen. Dal 2011 &#xE8; membro, in qualit&#xE0; di tastierista e pianista, della band del cantautore Fabio Cinti &quot;Le Nuove Logiche&quot; (con Giovanni Mancini, Gianluca Giannasso e Paolo Sturniolo). Ha curato gli arrangiamenti di pianoforte di alcune arie, lieder e canzoni accomunate da simili intenzioni artistiche  (Handel, Purcell, David Gilmour, Sting, Dvorak) dal titolo &quot;Memorabilia&quot;, parte del secondo album di Fabio Cinti &quot;Il Minuto Secondo&quot;(Sounday/Venus).<br>\nA maggio 2012 si esibisce in apertura della quarta edizione della mostra d&apos;arte contemporanea &quot;LuciSorgenti/SpringLights4&quot;sotto la direzione dello STUDIO A&apos;87 dello scultore spoletino Franco Troiani. Nei primi mesi del 2013 accompagna Fabio Cinti in apertura ad alcuni concerti dell&apos;&quot;Apriti Sesamo Tour&quot; di Franco Battiato nei pi&#xF9; bei teatri italiani. Il suo primo album, &quot;Assediati dall&apos;esercito russo e cinti dalle mura, guardavamo il cielo&quot; (Blume).</p></div>\n"	"[{""name"":""Assediati dall'esercito russo e cinti dalle mura, guardavamo il cielo"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/24481.jpg"",""link"":""http://www.rockit.it/alessandrorusso/album/assediati-dallesercito-russo-e-cinti-dalle-mura-guardavamo-il-cielo/24481""}]"
566	"Alessandro Santoni"	"http://www.rockit.it/AlessandroSantoni"	"Band, Pisa, Toscana"	"0"	"Rock, Cantautore, Alternativo "	"url(/thumb700x250/foto/75861.jpg)"	"[""/recensione/22636/alessandro-santoni-nullapark"",""/user/AlessandroSantoni""]"	"\n<div class=""content-rece""><p>Polistrumentista e compositore.</p> <p>Alessandro Santoni  (31-05-1979 Vimercate &#x2013;Milano)<br>\nInizia a suonare da piccolissimo grazie al padre e allo zio, rispettivamente chitarrista e batterista di un gruppo progressive rock degli anni &#x2019;70:<br>\nCasa di cura Pio IX  (<a href=""http://www.italianprog.com/it/a_list_c.htm"" target=""_blank"" rel=""nofollow"">http://www.italianprog.com/it/a_list_c.htm</a>)<br>\nDal 1993 al 1995 frequenta il CPM (centro professione musica) di Milano, la scuola fondata da Franco Mussida (PFM) seguendo corsi di batteria e teoria musicale.<br>\nNel 1996 partecipa a uno stage di batteria e basso con Tullio De Piscopo e Stefano Cerri.<br>\nDal 1996 al 1998 prende lezioni di chitarra con il maestro Alessandro &#x2013;Finaz- Finazzo  (Bandabard&#xF2;)<br>\nContemporaneamente impara a suonare il basso e le tastiere in maniera autodidatta.<br>\nCompone e registra brani di svariati generi, dal rock al blues, dalla new wave alla pop elettronica.<br>\nSuona in tutta Italia con diverse formazioni, come batterista/cantante e come chitarrista/cantante.<br>\nNel 2004 entra nei Quintessenza, gruppo prog rock toscano, come batterista/arrangiatore.<br>\nNel 2005 esce l&#x2019;album Pharmakon (<a href=""http://www.truemetal.it/reviews.php?op=albumreview&amp;id=3961"" target=""_blank"" rel=""nofollow"">http://www.truemetal.it/reviews.php?op=albumreview&amp;id=3961</a>)che riscuote grande successo tra critica e pubblico.<br>\nNel 2007 entra come bassista/cantante negli Strange Flowers, storica band pisana di psichedelic rock, con cui registra 3 album<br>\ne gira Italia ed Europa. <a href=""http://www.strangeflowers.net/The_Strange_Flowers/The_Strange_Flowers_Right_Now.html"" target=""_blank"" rel=""nofollow"">http://www.strangeflowers.net/The_Strange_Flowers/The_Strange_Flowers_Right_Now.html</a><br>\nNel 2011 registra un album solista, NULLAPARK , suonando tutti gli strumenti. Ospite del disco Andrea Appino degli Zen Circus.<br>\nDal vivo si presenta al basso e voce, accompagnato da un batterista e un chitarrista, formazione in trio per mantenere un sound minimale ma d&#x2019;impatto!<br>\nUn live di rock schizofrenico!<br>\n<a href=""http://soundcloud.com/alessandro-santoni"" target=""_blank"" rel=""nofollow"">http://soundcloud.com/alessandro-santoni</a><br>\n<a href=""http://www.lizardlounge.it/"" target=""_blank"" rel=""nofollow"">http://www.lizardlounge.it/</a><br>\nNel 2011 collabora come polistrumentista (batteria, basso, glockenspiel e tastiere) con il cantautore Andrea Carboni, aprendo live di Folkabbestia e Marlene Kuntz.<br>\n<a href=""http://www.andreacarboni.it/"" target=""_blank"" rel=""nofollow"">http://www.andreacarboni.it/</a><br>\nA cavallo tra il 2014 e il 2015 registra Psicopatici Romantici.  Album molto intimo, sia musicalmente che nelle liriche, un sound a tratti grunge primi anni &apos;90, a tratti cantautorale anni &apos;70.</p></div>\n"	"[{""name"":""Nullapark"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22636.jpg"",""link"":""http://www.rockit.it/AlessandroSantoni/album/nullapark/22636""}]"
567	"Alessandro Santoni"	"http://www.rockit.it/nullapark"	"Band, Toscana"	"0"	"Post-Rock "	"url(/thumb700x250/foto/69093.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
568	"Alessandro Serri   Eris Pluvia  Ancient Veil"	"http://www.rockit.it/alessandroerispluvia-ancientve"	"Band, Genova, Liguria"	"0"	"Rock, Progressive, Acustico "	"url(/thumb700x250/foto/14386.jpg)"	"[""/user/alessandroerispluvia-ancientve""]"	"\n<div class=""content-rece""><p>Sono nato a Genova il 12 luglio 1968. Sono un chitarrista, bassista, cantante e compositore. 1984 : insieme ad Edmondo Romano, ho fondato gli &quot;Eris Pluvia&quot;. 1990 : primo demo tape intitolato &quot;Pushing together&quot;. 1991 : primo CD degli &quot;Eris Pluvia&quot; intitolato &quot;Rings of earthly lights&quot; 1992 : insieme ad Edmondo Romano, ho fondato gli &quot;Ancient veil&quot;. 1993 : primo demo tape intitolato &quot;Morning After&quot;. 1995 : abbiamo inciso nel tributo ai GENESIS &quot;The river of constant change&quot; un arrangiamento del brano &quot;The lamia&quot; da &quot;The lamb lies down on Broadway&quot; 1995 : primo CD degli &quot;Ancient Veil&quot; intitolato &quot;The Ancient Veil&quot; 1997 : abbiamo inciso nel tributo ai gruppi Rock Progressivi italiani degli anni 70, &quot;Zarathustra&apos;s revenge&quot;, il brano &quot;Gioco di bimba&quot; (LE ORME &quot;Uomo di pezza&quot; 1972). Attualmente sto lavorando a nuove composizioni per diversi progetti musicali.</p></div>\n"	"[{""name"":""Zarathustra's revenge"",""date"":"" 1997 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9059.jpg"",""link"":""http://www.rockit.it/alessandroerispluvia-ancientve/album/zarathustras-revenge/9059""},{""name"":""The Ancient Veil"",""date"":"" 1995 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9058.jpg"",""link"":""http://www.rockit.it/alessandroerispluvia-ancientve/album/the-ancient-veil/9058""},{""name"":""The river of constant change"",""date"":"" 1995 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9057.jpg"",""link"":""http://www.rockit.it/alessandroerispluvia-ancientve/album/the-river-of-constant-change/9057""},{""name"":""Rings of earthly light"",""date"":"" 1991 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9056.jpg"",""link"":""http://www.rockit.it/alessandroerispluvia-ancientve/album/rings-of-earthly-light/9056""}]"
569	"Alessandro Valentini"	"http://www.rockit.it/alessandrovalentini"	"Band, Emilia Romagna"	"0"	"Sperimentale, Rock, Folk "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/alessandrovalentini""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""L'Arciere e la Luna"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9867.jpg"",""link"":""http://www.rockit.it/alessandrovalentini/album/larciere-e-la-luna/9867""},{""name"":""Emmanuel"",""date"":"" 2002 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9866.jpg"",""link"":""http://www.rockit.it/alessandrovalentini/album/emmanuel/9866""},{""name"":""Fondales"",""date"":"" 2000 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9865.jpg"",""link"":""http://www.rockit.it/alessandrovalentini/album/fondales/9865""},{""name"":""Ou Monon H Gaia"",""date"":"" 2000 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9864.jpg"",""link"":""http://www.rockit.it/alessandrovalentini/album/ou-monon-h-gaia/9864""}]"
570	"Alessandro Zanetti"	"http://www.rockit.it/alessandrozanetti"	"Band, Venezia, Veneto"	"0"	"Pop rock, Indie, Cantautore "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/26593/alessandro-zanetti-dulcis-in-fundo"",""/user/Alessandro.Zanetti""]"	"\n<div class=""content-rece""><p>Scrivi? Ma va? Fammi sentire qualcosa...</p> <p>Si, ascoltavo Gianni Morandi, un tempo. Poi un giorno, con rispetto e gratitudine, mi sono volto altrove. E da l&#xEC;, mi &#xE8; scoppiata la musica tra le mani. Poi in tutto il corpo. E poi eccoci qua, a parlare l&apos;uno per l&apos;altra.<br>\n<br>\nNasco il 17 agosto del 1986, e su questo nessun dubbio. Su tutto il resto, tanti. Ma sto imparando a farne un vanto. Scrivo canzoni dall&apos;et&#xE0; di 11 anni, tutto &#xE8; nato come un gioco e continua cos&#xEC; anche adesso mentre lo tento, quando Giove &#xE8; nel segno, come lavoro. <br>\n<br>\nNegli anni della mia adolescenza e della prima maturit&#xE0; ho ascoltato molta musica, preso pochissime note (mannaggia) e realizzato diversi album (ma lo sanno solo qualche amico e un centinaio di utenti della rete - &#xE8; tutto un delirio amatoriale che tengo sotto controllo), farveli sentire oggi sarebbe troppo compromettente, ma se volete li potete trovare nel web (a parte i primi due).<br>\n&quot;Dulcis In Fundo&quot; (2014) &#xE8; il primo di questi che mi sento di proporre con orgoglio e convinzione, nonostante la sua qualit&#xE0; non ancora, del tutto, esattamente &quot;professionale&quot;. Lo spingo in cerca di un parere.<br>\nAlle mie spalle nessun progetto discografico, registro tutto nella mia stanzetta con un microfono e una tastiera. Sono un pazzo, lo so. A farvi sentire questa roba. Ma che volete, non si pu&#xF2; essere sempre normali.</p></div>\n"	"[{""name"":""Dulcis In Fundo"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/26593.jpg"",""link"":""http://www.rockit.it/alessandrozanetti/album/dulcis-in-fundo/26593""}]"
571	"Alessio Cerasani"	"http://www.rockit.it/alessiocerasani"	"Band, Prato, Toscana"	"0"	"Cantautore, Rock, Alternativo "	"url(/thumb700x250/foto/93041.jpg)"	"[""/user/alecerasani""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Piombo"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/26757.jpg"",""link"":""http://www.rockit.it/alessiocerasani/album/piombo/26757""}]"
572	"Alessio Mereu"	"http://www.rockit.it/alessiomereu"	"Band, Sardegna"	"0"	"Rock, Blues, Punk rock "	"url(/thumb700x250/foto/88576.jpg)"	"[""/user/alessiomereu""]"	"\n<div class=""content-rece""><p>Alessio Mereu , chitarrista di Cagliari.</p> </div>\n"	"[{""name"":""L'Anima Libera"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/25560.jpg"",""link"":""http://www.rockit.it/alessiomereu/album/lanima-libera/25560""}]"
573	"Alessio Pistilli"	"http://www.rockit.it/alessiopistilli"	"Band, Cori (LT), Lazio"	"0"	"Cantautore, Indie, Pop rock "	"url(/thumb700x250/foto/99382.jpg)"	"[""/recensione/27881/alessio-pistilli-condividi"",""/user/alepisty""]"	"\n<div class=""content-rece""><p>Musicista e cantautore romano, ha appena pubblicato il suo secondo disco &apos;Condividi&apos;</p> <p>Alessio Pistilli &#xE8; nato il 13 Novembre 1980 a Cori, un paese dei Monti Lepini.<br>\nLa musica &#xE8; sempre stata la sua passione: all&apos;et&#xE0; di dodici anni rubava la chitarra al fratello suonandola di nascosto e fuggiva dall&#x2019;idea dei suoi genitori di introdurlo allo studio della fisarmonica.<br>\n<br>\nNel lontano 2002 forma una band di cui &#xE8; il cantante e chitarrista. Nella band, si esprime prima con i cantautori italiani e poi attraverso le pietre miliari del rock degli anni 60/70. <br>\n<br>\nNel 2008 lascia la band e, dopo aver acquistato il minimo indispensabile per registrare a casa le proprie idee, continua a scrivere, suonare ed arrangiare.<br>\n<br>\nIl 2010 vede l&apos;uscita del suo primo EP autoprodotto e la partecipazione a diversi concorsi musicali nazionali e non.<br>\n<br>\nNel 2011 presenta il suo Album dal titolo &#x201C;Vendesi o Cercasi?&#x201D;, un disco con 11 track dal sapore cantautorale e che trova respiro in un fortunato Tour di oltre 80 date.<br>\n<br>\nIl 2012 &#xE8; l&#x2019;anno della promozione del disco ad ampio raggio: a giugno suona il suo disco oltremanica nel locale pi&#xF9; importante di Ascot, il Jagz, nel Regno Unito dove riscuote successo.<br>\nSempre a giugno vince la borsa di studio come Autore presso il C.E.T. (Centro Europeo del Toscolano) del Maestro Mogol.<br>\nAncora una vittoria lo vede all&#x2019; 8&#xB0; edizione del Roccalling Festival che lo lancia, a settembre 2012, verso il M.E.I. il Meeting delle Etichette Indipendenti a Faenza.<br>\n<br>\nProsegue un 2013 ricco di date tra cui quelle presso clubs prestigiosi come l&#x2019;Arciliuto e il Contestaccio di Roma e il Teatro Cafaro di Latina dove apre il concerto a Niccol&#xF2; Fabi per il &#x201C;Tour Ecco&#x201D;.<br>\nA settembre il singolo &quot;Vendesi o Cercasi?&quot; entra a far parte della compilation Best of Fest(ival) di XL Repubblica, che raccoglie il meglio degli emergenti della rete dei festival italiani.<br>\nA ottobre firma un contratto editoriale con Valle Giovanni Edizioni Musicali.<br>\n<br>\nIl 2014 vedr&#xE0; l&apos;uscita il suo nuovo Album dal titolo &quot;Condividi&quot;. Attraverso il progetto &quot;20x20 MusicAttiva&quot; basato sul crowdfunding, Alessio riesce a coordinare le forze di amici, sponsor, colleghi ed artisti dell&apos;ambito figurativo costruendo un vero e proprio laboratorio artistico.<br>\n64 coproduttori, 6 sponsor, 8 collaborazioni e 10 artisti uniti per rappresentare le 12 canzoni racchiuse in una scatola magica che rompe gli standard dei normali dischi in vendita sul mercato. Un disco pieno di colori, sorrisi ed emozioni ben descritte dal video del singolo che d&#xE0; il titolo allo stesso album.<br>\nAccanto all&apos;amico Leonardo Caucci Molara (che insieme al Pistilli cura gli arrangiamenti), lo stile di Alessio si fa pi&#xF9; spensierato ma sempre attento al rapporto tra melodie fresche e testi ricercati e per niente scontati.<br>\n<br>\nA settembre partecipa al Campus della Musica e viene selezionato per il Live al Teatro dell&apos;Opera di Firenze che si terr&#xE0; nella prossima edizione 2015. A dicembre vince la targa per il miglior album di attualit&#xE0; al Premio &quot;Targhe d&apos;Autore&quot; per Musica Controcorrente.<br>\n<br>\nVive e lavora a Cori (LT), impegnato nella promozione del suo nuovo album.</p></div>\n"	"[{""name"":""Condividi"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/27881.jpg"",""link"":""http://www.rockit.it/alessiopistilli/album/condividi/27881""}]"
574	"Alessio Premoli"	"http://www.rockit.it/alessiopremoli"	"Band, Milano, Lombardia"	"3"	"Post-Rock, Folk, Acustico "	"url(/thumb700x250/foto/108580.jpg)"	"[""/recensione/29730/alessio-premoli-even-silence-has-gone"",""/user/alessiopremoli""]"	"\n<div class=""content-rece""><p>Compositore e chitarrista acustico di Milano</p> <p>Chitarrista di Milano, nelle esibizioni soliste cerca di ricreare un&apos;ambientazione<br>\nintima, minimale ed essenziale dove il centro vuole essere occupato dal solo<br>\nsuono della chitarra acustica.<br>\nDel 2010 &#xE8; il primo lavoro in studio, &#x201C;Duemilanove&quot;, album autoprodotto dalle<br>\nsonorit&#xE0; easy jazz e lounge; nel 2011 esce &quot;Breathe&quot;, lavoro pi&#xF9; marcatamente<br>\nsolista, con un&apos;anima acustica e folk, bacino da cui vengono estratti gran parte<br>\ndei brani live.<br>\nParallelamente collabora con altri gruppi e progetti, incidendo e suonando live;<br>\ntra questi: Last Men on The Moon, APJ Trio (chitarrista), R&#xE9;ver Noir (produttore),<br>\nNasby&amp;Crosh e il cantautore Bandit. Segue anche un progetto di musica<br>\nambient, Chelidon Frame.<br>\nDel 2015 &#xE8; il terzo disco solista, &#x201C;Even Silence has Gone&#x201D;, frutto di due anni di<br>\nlavoro tra live e studio di registrazione.</p></div>\n"	"[{""name"":""Even Silence Has Gone"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/29730.jpg"",""link"":""http://www.rockit.it/alessiopremoli/album/even-silence-has-gone/29730""},{""name"":""Breathe"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/29729.jpg"",""link"":""http://www.rockit.it/alessiopremoli/album/breathe/29729""},{""name"":""Duemilanove"",""date"":"" 2010 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/14707.jpg"",""link"":""http://www.rockit.it/alessiopremoli/album/duemilanove/14707""}]"
