"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
56	"124C41+"	"http://www.rockit.it/onetoforeseeforoneanother"	"Band, terni (TR), Umbria"	"1"	"Slow-core, Shoegaze, Screamo "	"url(/thumb700x250/foto/121009.jpg)"	"[""/recensione/33578/124c41-124c41-st"",""/news/indiepolitana-festival-pesaro-terni-gubbio-fano"",""/user/LaConcertini"",""/user/onetoforeseeforoneanother""]"	"\n<div class=""content-rece""><p>124C41+ are : Matath Yah, Om, Riccardo Inachis, Leonardo.</p> <p>124C41+ is a project born in an industrial city in the beginning of the end.<br>\n124C41+ is noise, blackgaze, post-rock, drone, ambient. Screamo.<br>\nBack in April 2015 Stay Home: Gigs &amp; Records, Dreamingorilla, Astio Collettivo, Dingleberry Records<br>\nthe band&apos;s first EP recorded far from the town, <br>\ngot realeased.<br>\nThe band from Terni met on the stage <br>\nMarnero, Storm{0}, Zeus!, Ornaments<br>\nand Die Abete, <br>\nwhich is collaborating for the single &quot;Mors&quot;.<br>\n124C41+ is a game about contrasts, words are not enough to judge it.</p></div>\n"	"[{""name"":""Mörs/Ërde"",""date"":"" 2016 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/33579.jpg"",""link"":""http://www.rockit.it/onetoforeseeforoneanother/album/morserde/33579""},{""name"":""124C41+ S/T"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/33578.jpg"",""link"":""http://www.rockit.it/onetoforeseeforoneanother/album/124c41-st/33578""}]"
57	"128"	"http://www.rockit.it/128"	"Band, ANCONA (AN), Marche"	"0"	"Rock'n'roll, Punk rock, Hardcore "	"url(/thumb700x250/foto/120643.jpg)"	"[""/user/128band""]"	"\n<div class=""content-rece""><p>128 nasce ad Ancona  ed &#xE8; una formazione rock caratterizzata da un suono aggressivo che permea tutta la struttura compositiva dei brani, senza mai prevaricarne le linee armoniche e melodiche dei pezzi, liberi di svilupparsi su scale minori o su quelle cromatiche comprese le blue notes.<br>\nBasso e chitarre sono accordati con il La4 a 432hz per sfruttare pienamente le risonanze armoniche degli strumenti in fase di esecuzione e poi perch&#xE9; ci piace.  La voce si &#xE8; aggiunta per ultima al suono dei 128, probabilmente destabilizzando in parte le vecchie composizioni e aggiungendo accenti e dinamicit&#xE0; ai brani.  Batteria, basso, voce, e 2 chitarre sviluppano un suono originale che &#xE8; la sintesi delle tante esperienze artistiche che ciascun componente dei 128 ha portato in dote al gruppo: metal, hardcore-punk, noise,  alternative rock, ecc. <br>\nI 128 hanno fatto appena uscire un album completamente autoprodotto e registrato nello Spazio Autogestito La Cupa di Ancona (Cupa Records). Il titolo del disco &#xE8; &quot;Centovent8&quot;.</p></div>\n"	"[{""name"":""Centovent8"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/33522.jpg"",""link"":""http://www.rockit.it/128/album/centovent8/33522""}]"
58	"12DaysFoRaNewWay"	"http://www.rockit.it/12DaysFoRaNewWay"	"Band, Trento, Trentino Alto Adige"	"0"	"Rock, Progressive, Alternativo "	"url(/thumb700x250/foto/88301.jpg)"	"[""/user/UgoPiscoLmaia""]"	"\n<div class=""content-rece""><p>:::: COS&apos; E &apos; 12:Days:for:a:New:Way ::::   12DaysFoRaNewWay &#xE9; un progetto musicale discografico di Ugo Pisco L&#xF9;maia che per i suoi contenuti , concett</p> </div>\n"	"[{""name"":""FEAR OF SILENCE RE\/olution\/ersion -(dal Concept-Album : XXI CENTURY)"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/25495.jpg"",""link"":""http://www.rockit.it/12DaysFoRaNewWay/album/fear-of-silence-reolutionersion-dal-concept-album-xxi-century/25495""}]"
59	"13Sushi"	"http://www.rockit.it/13sushi"	"Band, Lombardia"	"0"	"Rock, Punk, Nu-Metal "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
60	"15 Minutes Of Shame"	"http://www.rockit.it/15MOS"	"Band, Isola del Liri (FR), Lazio"	"0"	"Rock, Pop punk, Punk rock "	"url(/thumb700x250/foto/89899.jpg)"	"[""/user/mbruni16""]"	"\n<div class=""content-rece""><p>Lorenzo, Costantino, Mario, Antonello. Punk rock from Frosinone.Old Fashioned tube amps &amp; fender telecasters.</p> <p>I 15mos sono un agglomerato di ossa e peli, un regalo che vi &#xE8; stato fatto ma che non avete mai richiesto, una ricerca affannosa del perch&#xE9; Dio o qualsiasi altra entit&#xE0; li abbia mandati su questa terra. Andiamo con ordine: il gruppo cos&#xEC; come vi si mostra ha aperto &#x201C;ufficialmente&#x201D; i battenti nel novembre 2011, quando quattro ragazzi italiani hanno deciso di prendere in prestito un vocabolario di inglese per scrivere dei testi in una lingua che (propriamente) non &#xE8; neanche la loro. Poi si sono messi a suonare ed il risultato &#xE8; stato qualcosa di molto vicino al cercare di insegnare a degli scimpanz&#xE8; ad usare le posate. Fatto sta che da li Lorenzo (voce, chitarra finta), Costantino (chitarre, cori), Mario (basso),e Antonello (batteria) hanno raggiunto dei traguardi che, per un gruppo di ventenni universitari, valgono la pena di essere evidenziati.<br>\nDopo aver pubblicato una demo (omonima) autoprodotta, i Fifteen Minutes Of Shame hanno deciso che il loro intento &#xE8; quello di aprire ai gruppi famosi e rovinare quei concerti. Sul loro &#x201C;death note&#x201D; sono finiti, per ora: Fast animals and slow kids; Mum drinks milk again; Nobraino; Marta sui tubi; Bud spencer blues explosion; June Miller, lo Stato Sociale.//////////////////////////////////////////<br>\n100decibel ha scritto di noi: &quot;Un gruppo che non ama prendersi troppo sul serio, che ama giocare con la musica, tanto che difficilmente si riconduce ad un solo genere e che ha un suono vario, che spazia dal punk, al pop rock, al reggae, fino a toccare il grunge ed arrangiamenti presi dal country e dal blues. Insomma, l&#x2019;intento &#xE8; quello di ottenere un suono multiforme, eclettico, mai uguale a se stesso, che ama la variet&#xE0;.&quot;///////////////////////////<br>\nNella nostra breve carriera abbiamo anche vinto un contest (SWEET HOME CANTINA), organizzato dal locale pi&#xF9; underground della provincia di Frosinone, La Cantina Mediterraneo. La vittoria di questo contest ci permetter&#xE0; di registrare un EP di due brani. Evvai!//////////////////////////////////////////////<br>\nAbbiamo appena finito i registrare il nostor primo disco (registrato, mixato e masterizzato da FIlippo Strang - Poptones, Flying Vaginas, War Children - ) al VDSS Recording Studio di Morolo che si chiamer&#xE0; Scrambled Eggs ed uscir&#xE0; in estate, ed &#xE8; un disco al quale vogliamo tanto bene////<br>\n03.06.14: Scrambled Eggs &#xE8; finalmente disponibile online su bandcamp, amazon, itunes, soundcloud, spotify e ai nostri concerti in copia fisica!</p></div>\n"	"[{""name"":""Scrambled Eggs"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/25940.jpg"",""link"":""http://www.rockit.it/15MOS/album/scrambled-eggs/25940""}]"
61	"16 Lovers Lane"	"http://www.rockit.it/sixteenll"	"Band, Verona, Veneto"	"1"	"Rock, Psichedelico, Alternativo "	"url(/thumb700x250/foto/76758.jpg)"	"[""/recensione/22791/16-lovers-lane-propaganda"",""/recensione/16794/16-lovers-lane-dont-try-to-push-me"",""/user/sixteenll""]"	"\n<div class=""content-rece""><p>Abbiamo iniziato il progetto16 Lovers Lane, nel 2008 circa, in due: Michele e Giorgia. All&apos;epoca avevamo un pugno di canzoni, perlopi&#xF9; acustiche. Nel frattempo abbiamo fatto amicizia con i Carnera FM, altra band di Verona, coi quali abbiamo anche suonato e per il cui album (&quot;Avr&#xF2; fin troppo tempo per rimanere distante da te quando saremo morti&quot;) Giorgia ha prestato la voce nella canzone conclusiva &quot;Il mio cuore &#xE8; un posto terribile&quot;. Ma soprattutto, nei Carnera FM abbiamo conosciuto Federico (gi&#xE0; nei ranghi dei Domus de Janas), che &#xE8; presto diventato il nostro bassista. Da allora suoniamo il pi&#xF9; avidamente possibile per cercare di far quadrare il numero crescente di canzoni e per dare loro un suono avvolgente, che combini un numero di elementi/strumenti via via crescente (una chitarra elettrica satura di effetti, un moog, un piano elettrico, un basso, e batterie elettriche + suoni programmati al laptop) e la nostra idea di musica. Dopo l&apos;EP &quot;Don&apos;t try to push me&quot; abbiamo registrato l&apos;album PROPAGANDA con l&apos;aiuto di Riky &quot;Mela&quot; Guariento&quot; alla batteria.</p></div>\n"	"[{""name"":""PROPAGANDA"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22791.jpg"",""link"":""http://www.rockit.it/sixteenll/album/propaganda/22791""},{""name"":""Don't Try To Push Me"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/16794.jpg"",""link"":""http://www.rockit.it/sixteenll/album/dont-try-to-push-me/16794""}]"
62	"17guai"	"http://www.rockit.it/17guai"	"Band, Lazio"	"0"	"Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/akctarus""]"	"\n<div class=""content-rece""></div>\n"	"[]"
63	"18 Politico"	"http://www.rockit.it/18Politico"	"Band, Borgo Val di Taro (PR), Emilia Romagna"	"1"	"Hip-Hop, Hardcore, Crossover "	"url(/thumb700x250/foto/73875.jpg)"	"[""/user/giorgio.camossaro""]"	"\n<div class=""content-rece""><p>Hip Hop da Parma</p> <p>La 18 Politico Crew nasce nel 2009 dopo lo scioglimento del gruppo &quot;Karma Kenosi&quot;. Il duo &quot;Camo e Garra&quot; decidono di proseguire il nuovo percorso verso l&apos;hip hop, mantenendo comunque tutte le influenze musicali suonate in passato. <br>\nIl gruppo &#xE8; cresciuto ascoltando dal rock, al metal fino ad arrivare all&apos;hip hop. i Nostri due primi mixtape sono &quot;Violent Dancing Mixtape Vol.1&quot; e &quot;Dalla Montagna Con Onore Mixtape&quot;, approvati dalla stampa a pieni voti.<br>\nIl primo album ufficiale &#xE8; stato &quot;partorito&quot; il 28 Gennaio, dal titolo &quot;Niente Scuse&quot;, prodotto interamente da Dj Over (Project Hope) e all&apos;interno continue featuring di spessore nella scena parmigiana quali Xfetto e Rocco Freestyle (Project Hope), Ferretti (Deepemilia) e Diaz.<br>\nLa crew ha portato la loro musica in parecchi live tra cui Svizzera, Piacenza, Parma, Mantova, Cremona e Svizzera, in apertura a personaggi noti nel panorama italiano.<br>\n<br>\nE&apos; in lavorazione il loro prossimo album dal titolo &quot;A Denti Stretti&quot;.</p></div>\n"	"[{""name"":""Con Il Mic In Mano"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/24244.jpg"",""link"":""http://www.rockit.it/18Politico/album/con-il-mic-in-mano/24244""},{""name"":""Niente Scuse"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22115.jpg"",""link"":""http://www.rockit.it/18Politico/album/niente-scuse/22115""}]"
64	"18smile"	"http://www.rockit.it/18smile"	"Band, Senigallia (AN), Marche"	"0"	"Rock, Punk, Pop "	"url(/thumb700x250/foto/26791.jpg)"	"[""/user/18smile""]"	"\n<div class=""content-rece""></div>\n"	"[]"
65	"1911 unknowns"	"http://www.rockit.it/1911unknowns"	"Band, Lombardia"	"1"	"Punk, Indie "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
