"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
537	"Aldrin"	"http://www.rockit.it/aldrin"	"Band, Roma, Lazio"	"3"	"Strumentale, Rock, Post-Rock "	"url(/thumb700x250/foto/53211.jpg)"	"[""/news/verme-dummo-sabato-trevi-toloselatrackville"",""/user/aldrin""]"	"\n<div class=""content-rece""><p>Gli Aldrin sono 4 creature senzienti il cui evidente destino, fin da principio, era quello di sfruttare il fenomeno della propagazione delle onde sonore nell&apos;atmosfera al fine di suscitare una diversificata gamma di emozioni negli umani.<br>\nGli Aldrin nascono circa 14 miliardi di anni dopo il Big Bang,pressappoco 3 miliardi di anni dopo la comparsa della vita sulla Terra,a quasi 220 anni dalla presa della Bastiglia,precisamente nel marzo 2009.<br>\nGli Aldrin sono dediti ad un post-rock strumentale, eccezion fatta per rari inserti di suoni che sfruttano il linguaggio terrestre con lo scopo di trasmettere informazioni.<br>\nGli Aldrin hanno appena registrato il loro terzo disco, completamente autoprodotto, cos&#xEC; come i precedenti due.Tutta la loro musica &#xE8; scaricabile senza alcuna richiesta di danaro dal World Wide Web, anche noto come l&apos;Internet.<br>\nGli Aldrin amano assistere al processo di invecchiamento biologico dei loro corpi in ambienti prevalentemente bucolici, nei quali spesso si ritrovano a comporre musica.<br>\nIl settantacinque per cento degli Aldrin &#xE8; stato in grado di terminare con successo il livello 9-5 in modalit&#xE0; B del videogame Tetris sull&apos;originale Nintendo Gameboy.</p></div>\n"	"[{""name"":""Bene"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/17320.jpg"",""link"":""http://www.rockit.it/aldrin/album/bene/17320""},{""name"":""La Roque"",""date"":"" 2010 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/14762.jpg"",""link"":""http://www.rockit.it/aldrin/album/la-roque/14762""}]"
538	"Alec"	"http://www.rockit.it/alec"	"Band, Veneto"	"0"	"Rock, Pop, Hard Rock "	"url(/thumb700x250/foto/2362.jpg)"	"[]"	"\n<div class=""content-rece""><p>La band si forma nel 1999, ma la line-up attuale si ha solo nel aprile 2000. Registrano il demo &quot;Vivere in stereo&quot;, partecipano a San Remo Rock (secondo posto) e ad Amnesty International Live dove conquistano il podio. In due anni tengono circa 100 concerti e a fine 2001 viene pubblicato &quot;Cosa mi resta&quot;, CD singolo interamente autoprodotto contenente 2 brani inediti, un vero videoclip ed una traccia multimediale. Ora la band &#xE8; alla ricerca di un contratto discografico e sta per inaugurare il loro sito internet ufficiale</p></div>\n"	"[]"
539	"Alek"	"http://www.rockit.it/lookstrange"	"Band, Caltanissetta, Sicilia"	"0"	"Rock, Grunge, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/lookstrange""]"	"\n<div class=""content-rece""></div>\n"	"[]"
540	"Aleko"	"http://www.rockit.it/aleko"	"Band, Lombardia"	"1"	"Rock, New-Wave, House "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/aleko""]"	"\n<div class=""content-rece""></div>\n"	"[]"
541	"Alémon"	"http://www.rockit.it/alemon"	"Band, Veneto"	"0"	"Strumentale, Sperimentale, Industrial, Acustico "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/6520/alemon-st""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""s/t"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/6520.jpg"",""link"":""http://www.rockit.it/alemon/album/st/6520""}]"
542	"Alepà"	"http://www.rockit.it/alepamusic"	"Band, Lazio"	"1"	"Indie, Cantautore, Acustico "	"url(/thumb700x250/foto/108245.jpg)"	"[""/user/AlessandraParisi"",""/user/stefaniadomina""]"	"\n<div class=""content-rece""><p>Alep&#xE0; &#xE8; una cantautrice, chitarrista e interprete dalla voce ipnotica e le canzoni caleidoscopiche.</p> <p>A 10 anni non riesce a smettere di ascoltare Imagine di John Lennon finch&#xE9; si ritrova a cantarla nell&#x2019; imbarazzo pi&#xF9; totale davanti a tutto il vicinato. Alle medie scopre il potere catartico del grunge; Nirvana a colazione, Pearl Jam a cena, Soundgarden per gli spuntini. Alla fine del liceo, dopo anni e anni passati a viaggiare attraverso dischi e suonare nella sua citt&#xE0; natale, Caserta, prepara le valigie e imbraccia la chitarra acustica per cambiare vita: direzione Roma, in cerca di nuove avventure metropolitane.<br>\n<br>\nFa mille lavori, tutti precari. Arriva un contratto, un badge elettronico, 26 giorni di ferie all&#x2019; anno. Non fa per lei, si licenzia, si iscrive al Conservatorio, sceglie un vestito pi&#xF9; leggero e colorato, sceglie la musica.<br>\n<br>\nNel 2010 comincia a scrivere canzoni ma solo un paio d&#x2019;anni pi&#xF9; tardi ha il coraggio di inviarle ai concorsi con un bacio scaramantico, approdando con sorpresa alle finali del Premio Bianca d&#x2BC;Aponte, del Premio Bindi, e del Premio De Andr&#xE8; che le regala la doppia vittoria per la canzone d&#x2019;autore e per la miglior interprete con il brano &#x201C;Il valzer di Roma&#x201D;.<br>\nMolti dei suoi brani vengono mandati in onda su Rai Radio 1 nella trasmissione DEMO di Michael Pergolani e Renato Marengo, che le dedicano uno speciale live e le danno la possibilit&#xE0; di suonare in un contesto che lascia il segno; le carceri di Rieti e Sollicciano (FI) per il JAILHOUSE TOUR.<br>\n<br>\nNel 2013 partecipa alla prima edizione di THE VOICE OF ITALY con Piero Pel&#xF9; dei Litfiba. L&#x2019;esperienza del talent si rivela importante e formativa, ma lontana dal suo mondo acustico di musica &#x201C;artigianale&#x201D;.<br>\n<br>\nNe nasce una canzone, Ogni Passo, che d&#xE0; il nome al suo blog in musica, &#x201C;Ogni Passo &#x2013; Impronte Vocali&#x201C;, con il quale racconta la sua storia di musicista e di donna, attraverso le canzoni pi&#xF9; importanti della sua vita, accompagnate da foto, pensieri, appunti, ricordi.<br>\n<br>\nIn questo momento sta raccogliendo le energie, le immagini e i suoni per il suo primo disco.</p></div>\n"	"[{""name"":""Impronte Vocali"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/24247.jpg"",""link"":""http://www.rockit.it/alepamusic/album/impronte-vocali/24247""}]"
543	"Aleph"	"http://www.rockit.it/aleph"	"Band, Lombardia"	"0"	"Metal "	"url(/thumb700x250/foto/2568.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
544	"Alessandra Mostacci e Roberto “Freak” Antoni"	"http://www.rockit.it/alessandramostaccierobertofrea"	"Band, Emilia Romagna"	"2"	"Cantautore, Demenziale "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/news/morto-freak-antoni-skiantos"",""/news/nuove-date-roberto-freak-antoni"",""/news/terza-edizione-festival-antirazzista-cantalupo-filottrano""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Ironikotemporaneo 2"",""date"":"" 2007 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/7363.jpg"",""link"":""http://www.rockit.it/alessandramostaccierobertofrea/album/ironikotemporaneo-2/7363""},{""name"":""Ironikontemporaneo"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/4640.jpg"",""link"":""http://www.rockit.it/alessandramostaccierobertofrea/album/ironikontemporaneo/4640""}]"
545	"Alessandro Alessandroni"	"http://www.rockit.it/alessandroalessandroni"	"Band, Roma, Lazio"	"0"	"Easy-listening, Funk, Psichedelico "	"url(/thumb700x250/foto/106961.jpg)"	"[]"	"\n<div class=""content-rece""><p>Alessandro Alessandroni (Roma, 16 marzo 1925[1]) &#xE8; un compositore, direttore d&apos;orchestra e arrangiatore italiano.</p> <p>&#xC8; noto per la sua grande abilit&#xE0; nel fischiare (dimostrata prevalentemente in molte colonne sonore di spaghetti western di Ennio Morricone), ed anche per aver fondato e diretto il gruppo vocale I Cantori Moderni: &#xE8; uno di quei personaggi che, pur restando prevalentemente dietro le quinte, hanno contribuito in prima persona alla realizzazione di moltissime musiche di successo.</p></div>\n"	"[{""name"":""Criminale vol. 4 - Violenza!"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/29416.jpg"",""link"":""http://www.rockit.it/compilation/criminale-vol-4-violenza/29416""}]"
546	"Alessandro Barbanera"	"http://www.rockit.it/alessandrobarbanera"	"Band, Umbria"	"0"	"Noise, Elettronico, Ambient "	"url(/thumb700x250/foto/114907.jpg)"	"[""/recensione/30766/alessandro-barbanera-bastard-under-the-stars"",""/user/ariamrecords""]"	"\n<div class=""content-rece""><p>Nato ad Assisi (PG) nel 1983, inizia lo studio della chitarra classica a quattordici anni, conseguendo le licenze di &quot;Teoria e solfeggio&quot; (2001), &quot;Armonia complementare&quot; (2004), e &quot;Storia della musica&quot; (2004) presso i conservatori &quot;F. Morlacchi&quot; di Perugia, &quot;G.B. Martini&quot; di Bologna, e l&apos;ISSM &quot;G. Briccialdi&quot; di Terni. Ha seguito masterclass di chitarristi classici e compositori di fama internazionale (David Russell, Andrew York, Roland Dyens, John Dearman, fra gli altri), partecipando anche nel 2002 ai seminari del Gitarrenfestspiele di N&#xFC;rtingen (Stoccarda). Ha collaborato con associazioni musicali e scuole di musica della provincia di Perugia, e svolto attivit&#xE0; didattica. Ha suonato nel gruppo indie rock &quot;Mentivo&quot;, con il quale ha registrato il disco d&apos;esordio, &quot;Io sono la verit&#xE0;&quot;, nel 2014. Le influenze nelle sue composizioni spaziano dalla classica, alla new wave, dall&apos;ambient, alla drone, dal rock psichedelico, all&#x2019;elettronica pi&#xF9; sperimentale.</p></div>\n"	"[{""name"":""Bastard under the stars"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/30766.jpg"",""link"":""http://www.rockit.it/alessandrobarbanera/album/bastard-under-the-stars/30766""}]"
