"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
1152	"Around A"	"http://www.rockit.it/arounda"	"Band, Bologna, Emilia Romagna"	"3"	"Pop, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/arounda"",""/user/charli""]"	"\n<div class=""content-rece""><p>Gli Around A si sono formati a Bologna nel 2008 e vengono considerati come una delle realt&#xE0; pi&#xF9; interessanti dell&apos;attuale scena musicale alternativa italiana. Capaci in breve tempo di conquistare pubblico e addetti ai lavori grazie ad un songwriting molto personale ed ispirato alla migliore tradizione d&apos;Oltremanica, danno vita a sonorit&#xE0; ricercate contraddistinte da linee melodiche elegantemente pop. Nel 2011, forti di una sempre pi&#xF9; costante attivit&#xE0; live, pubblicano con Skpmz Label il loro EP d&apos;esordio dal titolo &apos;Four Is Not A Number&apos;, prima tappa di un percorso musicale che lascia intravedere per la band un futuro davvero ricco di soddisfazioni.</p></div>\n"	"[{""name"":""Four Is Not A Number"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/16297.jpg"",""link"":""http://www.rockit.it/arounda/album/four-is-not-a-number/16297""}]"
1153	"Arpia"	"http://www.rockit.it/arpia"	"Band, Lazio"	"0"	"Rock, Progressive, Metal "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/6543/arpia-terramare"",""/user/arpia""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Terramare"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/6543.jpg"",""link"":""http://www.rockit.it/arpia/album/terramare/6543""}]"
1154	"ARRAYA"	"http://www.rockit.it/arraya"	"Band, Firenze, Toscana"	"0"	"Rock, Pop "	"url(/thumb700x250/foto/35155.jpg)"	"[""/user/arraya""]"	"\n<div class=""content-rece""><p>Gli ARRAYA, gruppo presente sulla scena fiorentina dal 2003, dopo vari cambiamenti si sono consolidati negli attuali quattro elementi, batteria, basso, chitarra solista e voce/chitarra ritmica. Nelle esibizioni che li vedono protagonisti, si propongono sempre con composizioni proprie, in stile pop rock. La struttura consueta dei pezzi si basa sull&#x2019;incontro delle linee melodiche delle due chitarre, supportate dal puntuale ritmo della batteria e del basso. Su questa trama poggia il corposo timbro della voce maschile, che si slancia nella sua libert&#xE0; interpretativa esaltando al contempo la dinamicit&#xE0; degli arrangiamenti. Il tutto si realizza in una varia gamma di canzoni, passando dal pop melodico al rock, spesso fondendoli insieme. I testi, sia in italiano che in inglese, rispecchiano sensazioni, inquietudini, ribellioni e speranze dilatate da una dimensione autobiografica a una dimensione metaforica. Gli ARRAYA, oltre alle esibizioni nei maggiori locali fiorentini quali Flog, Tenax, keller&apos;s Platz, Be Bop, Zenigata, hanno partecipato a diverse manifestazioni pubbliche e a concorsi: finalisti e miglior bassista a &#x201C;Emergenza Rock&#x201D;, vincitori a &#x201C;Mulligans Singing Pub&#x201D;, gruppo di apertura al concerto di Max Gazz&#xE8; e Paola Turci al &#x201C;Marea Festival&#x201D;. Recensiti dalla rivista musicale &#x201C;Blow Up&#x201D; e invitati come ospiti a programmi televisivi nazionali, sono stati intervistati dall&#x2019;emittente radiofonica toscana &#x201C;Lady Radio&#x201D; nell&#x2019;ambito della manifestazione &#x201C;Ru&#xF2;tati&#x201D;, da Radio Lady nell&apos;ambito del concorso &quot;Lady officina band&quot;. Nel 2008 il Gruppo ha effetuato la registrazione dell&#x2019;ultimo DEMO, costituito da otto canzoni. Vincitori del concorso &quot;Decibel Music contest&quot; nel marzo 2010 la band sta registrarndo il nuovo demo di brani inediti!!!! Contattati recentemente da varie etichette discografiche (ControTempo Produzioni-EmaVinci, Phonarchia Produzioni di Lucca, Maia Records di Genova, ecc.) stiamo valutando con chi produrre il nostro progetto.</p></div>\n"	"[{""name"":""ARRAYA"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/13274.jpg"",""link"":""http://www.rockit.it/arraya/album/arraya/13274""}]"
1155	"Arrm"	"http://www.rockit.it/arrm"	"Band, Lombardia"	"0"	"Rock, Punk "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/ar115382r""]"	"\n<div class=""content-rece""><p>SIAMO GLI ARRM, PUNK ROCK BAND DI VEDUGGIO DELLA PROV. DI MILANO, CI POTETE TROVARE AL SITO <a href=""http://WWW.ARRM.TOO.IT"" target=""_blank"" rel=""nofollow"">WWW.ARRM.TOO.IT</a>, LI&apos; TROVATE BIO, LA DEMO TOTALMENTE SCARICABILE, FOTO DATE E ANCHE LA SEZIONE GUESTBOOK</p></div>\n"	"[]"
1156	"Arroyo"	"http://www.rockit.it/arroyo"	"Band, Marche"	"0"	"Rock, Folk, Country "	"url(/thumb700x250/foto/4205.jpg)"	"[""/user/arroyo""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Old Fishmarket Close"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/arroyo/album/old-fishmarket-close/5164""},{""name"":""In The Nick Of Time"",""date"":"" 2002 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/arroyo/album/in-the-nick-of-time/5163""},{""name"":""Freddy Malins"",""date"":"" 2001 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/arroyo/album/freddy-malins/5162""}]"
1157	"ARS DIVINA"	"http://www.rockit.it/ARSDIVINA"	"Band, salerno (SA), Campania"	"2"	"Rock, Progressive, Gotico "	"url(/thumb700x250/foto/89627.jpg)"	"[""/user/ARSDIVINA""]"	"\n<div class=""content-rece""><p>classical lyric rock</p> <p>Gli &#x201C;ARS DIVINA&#x201D; nascono nel 2003 e i suoi componenti sono: Giacomo Mercaldo-voce, Roberto Coscia-batteria, Gianluca Di Marino-chitarra, Dario Triestino-basso e Pierpaolo Iemmo-violino.<br>\nL&#x2019;idea ha preso forma quando i cinque ragazzi salernitani hanno messo insieme le loro caratteristiche, le loro diversit&#xE0; e le loro competenze, per creare una formula musicale originale e personalissima,<br>\nche nasce dall&#x2019;esperienza di anni di rock dal vivo e da studi &#x201C;classici&#x201D; presso il conservatorio della propria citt&#xE0;.<br>\nLa musica degli ARS DIVINA &#xE8; diretta e piacevolmente melodica ed unisce il rock alla musica classica e lirica. L&#x2019;utilizzo di una voce dai toni scuri e profondi, il basso e la chitarra quali principali strumenti armonici e l&#x2019;uso del violino elettrico, dona al gruppo un&#x2019;idea di compattezza, corposit&#xE0;, originalit&#xE0;; una band insomma, che espone sfumature classicheggianti che rievocano l&#x2019;opera e il teatro, delineando cosi&#x2019; la caratteristica portante del loro sound. <br>\nIl gruppo si &#xE8; esibito in varie manifestazioni ed eventi, affiancando le loro serate live a ospitate e concorsi, tra i quali ricordiamo il &#x201C;Giffoni film festival 2005, 2006, 2007&#x201D;, &#x201C;Expo scuola&#x201D; &#x201C;San Remo rock 2005&#x201D; giungendo come finalisti a Ravenna, &#x201C;San remo Rock 2007&#x201D;,&#x201C;Festa della pizza 2006, 2007, 2009&#x201D; ospiti tutte le sere in diretta su Telecolore (emittente televisiva campana), &#x201C;Stelle Emergenti&#x201D; Rai Due, festa della promozine della Salernitana in B (2008) svoltasi presso gli stadi &#x201C;Arechi&#x201D; e &#x201C;Vestuti&#x201D; di Salerno, &#x201C;Premio Charlot&#x201D; manifestazione internazionale per il cabaret a Paestum, della quale hanno composto la sigla,&#x201C;Meeting del mare 2011&#x201D; a Marina di Camerota, vincitori del &quot;why not contest&quot; a Battipaglia e del premio &quot;demo d&apos;autore&quot; nell&apos;ambito della trentennale manifestazione Premio Sele d&apos;oro Mezzogiorno. Hanno all&#x2019;attivo un cd autoprodotto dal titolo &#x201C;atto primo&#x201D;.<br>\nLa straordinaria carica impressa nella musica che il gruppo propone &#xE8; esattamente pari alla loro grande voglia di suonare e di farlo secondo la loro ricetta&#x2026;quali sono gli ingredienti? <br>\nBeh, ATTENDITE ET VIDETE...</p></div>\n"	"[{""name"":""ATTO PRIMO"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/25859.jpg"",""link"":""http://www.rockit.it/ARSDIVINA/album/atto-primo/25859""}]"
1158	"Arse"	"http://www.rockit.it/arse"	"Band, Roma, Lazio"	"0"	"Hip-Hop, Crossover, Rap "	"url(/thumb700x250/foto/110006.jpg)"	"[""/news/arse-rapper-roma-quadraro-basament-video"",""/user/blaluca""]"	"\n<div class=""content-rece""><p>Valerio Antenucci aka Arse &#xE8; un rapper romano classe 1986 cresciuto nella periferia est della capitale, nel quartiere di Tor Sapienza. All&apos;et&#xE0; di quattordici anni, dopo le prime esperienze da writer, si avvicina al rap, mantenendo vivo l&apos;interesse anche per altri generi musicali come metal, crossover e punk-rock. Nel 2006 avviene il primo passo musicale, grazie allo staff del Melopea Studio di Roma, dove registra alcuni pezzi.<br>\n<br>\nDopo numerose esibizioni live in contesti underground, entra a far parte della crew Nacapito e, nel 2009, si autoproduce il primo album ufficiale, Acciaio Duro, un disco composto da quindici tracce con varie collaborazioni come Dr.Demis,  Suarez e altri. <br>\n<br>\nNel 2010 partecipa al mixtape Nacapito Squadra Antialternativi vol.1 insieme ad altri esponenti della scena, sopratutto romana. Nel 2011 esce il suo secondo lavoro, Denunzia, prodotto e curato interamente da Dr.Demis: un disco di sedici tracce a cui collaborano artisti come Coez, Suarez, Rak, Debbit e il gruppo Occhi Viola TBMZ. Nel disco vengono affrontate tematiche politico-sociali fuse al senso di appartenenza, di rabbia ed emarginazione che caratterizzano le periferie romane, diventando parte distintiva dello stile dell&apos;artista da sempre sensibile alle tematiche politiche. <br>\n<br>\nTutte queste caratteristiche trovano uno sbocco definitivo e una forma completa in Fuck Your Dreams, il primo album della maturit&#xE0; di Arse, che nel frattempo conosce i tipi di Quadraro Basement ed entra a far parte del roster della storica etichetta romana.</p></div>\n"	"[{""name"":""Fuck Your Dreams"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/29902.jpg"",""link"":""http://www.rockit.it/arse/album/fuck-your-dreams/29902""}]"
1159	"arse verse"	"http://www.rockit.it/arseverse"	"Band, Emilia Romagna"	"0"	"Crossover "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
1160	"ArseA"	"http://www.rockit.it/arsea"	"Band, Lazio"	"0"	"Strumentale, Metal, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/rdrummer""]"	"\n<div class=""content-rece""></div>\n"	"[]"
1161	"Arsenico"	"http://www.rockit.it/arsenico"	"Band, Piemonte"	"21"	"Rock "	"url(/thumb700x250/foto/65458.jpg)"	"[""/recensione/18605/arsenico-e-questo-che-siamo"",""/news/gdc-stasera-casa-mirto-rocket"",""/news/gdc-stasera-live-lapsus-torino"",""/user/Gregge""]"	"\n<div class=""content-rece""><p>Gli Arsenico sono un gruppo rock. Non c&#x2019;&#xE8; nient&#x2019;altro da aggiungere. Ultimo disco pubblicato: &quot;E&apos; questo che siamo&quot; [V.d.G.] Ultimo video: La Rivoluzi</p> <p>Gli Arsenico sono un gruppo rock. Non c&#x2019;&#xE8; nient&#x2019;altro da aggiungere.<br>\nTranne che quando si pensa ad un gruppo rock ci si immagina persone un po&#x2019; annoiate dalla vita, tendenzialmente dedite a narcisismi vari, che vanno a letto la mattina presto, che abusano di vizi ed abitudini malsane.<br>\nInvece gli Arsenico farebbero volentieri tutto questo ma siamo nel 2011, c&#x2019;&#xE8; la crisi, e di solito devono lavorare.<br>\nQuindi, se si escludono i vizi e le abitudini malsane, non sono diversi dal tuo vicino di casa, dalla commessa del negozio all&#x2019;angolo, dal postino, dal tuo capo.<br>\nPer&#xF2; suonano. Fabio, Turi, Robo e Liba lo hanno scelto come modo per essere. Ma in realt&#xE0; &#xE8; pi&#xF9; la musica che ha scelto loro, e molto spesso si chiede se ha fatto bene o no.<br>\nAd ogni modo gli Arsenico hanno molto da dire. Ma dal momento che vanno di moda i populismi, non fanno solo parole ma amano fare, darsi da fare per cambiare le cose che non vanno. E lo fanno davvero: &#xE8; la loro piccola rivoluzione.<br>\nDiscografia:<br>\n<br>\nAlbum<br>\nNottide, (2001)<br>\nForti di Incomprensioni Instabili (2004)<br>\nEsistono distanze (2008)<br>\nE&#x2019;questo che siamo (La Voce del Gregge 2012)<br>\n<br>\nE.P.<br>\nArsenico (2008)</p></div>\n"	"[{""name"":""E' questo che siamo"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/18605.jpg"",""link"":""http://www.rockit.it/arsenico/album/e-questo-che-siamo/18605""},{""name"":""Esistono distanze"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9507.jpg"",""link"":""http://www.rockit.it/arsenico/album/esistono-distanze/9507""}]"
