"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
3390	"Date at Midnight"	"http://www.rockit.it/dateatmidnight"	"Band, Roma, Lazio"	"0"	"New-Wave, Gotico, Dark "	"url(/thumb700x250/foto/120792.jpg)"	"[""/user/Major_Tom""]"	"\n<div class=""content-rece""><p>Obscure Rock from Rome</p> <p>formed in Rome in 2007, and quickly established a reputation both in Italy and abroad: during last years they&#x2019;ve been playing extensively in Germany, Spain, Austria, Switzerland and France; the current line - up features Daniele De Angelis (voice), Pasquale Vico (bass), Francesco Barone (guitar) and Francesco Mignogna (drums), who joined the band in 2012, succeeding to Danilo Staniscia.<br>\nAfter their debut, self - titled EP (2008), they signed an agreement with Manic Depression Records (<a href=""http://www.manicdepressionrecords.com"" target=""_blank"" rel=""nofollow"">www.manicdepressionrecords.com</a>) to release in 2012 their first full &#x2013; length, &#x201C;No Love&#x201D;.<br>\nThey are distinguished by a powerful sound in which the ruins of the Eternal City meet the chaotic and obsessive feelings of metropolitan landscapes, introspective and hard-to-confess sensations, betrayed hope, and pervasive irony, combining the instinct of Post-punk, the roots of Gothic Rock, and the dramatic attitude of Deathrock in a strikingly personal style, resulting in solid, absorbing rhythms topped with abrasive, crazy guitar and theatrical, imposing vocals, with English and Italian lyrics which frame, with disenchantment, the decadence of our times.</p></div>\n"	"[]"
3391	"Daunhara"	"http://www.rockit.it/daunhara"	"Band, Piemonte"	"0"	"Rock, Grunge, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
3392	"Daushasha"	"http://www.rockit.it/daushasha"	"Band, Trebaseleghe (PD), Veneto"	"0"	"Rock, Folk, Cantautore "	"url(/thumb700x250/foto/125350.jpg)"	"[""/recensione/22504/daushasha-canzoni-dal-fosso"",""/user/daushasha"",""/user/GiuliaGGI""]"	"\n<div class=""content-rece""><p>Daushasha presentano &quot;Luna&quot; il nuovo disco (15 Aprile 2016)</p> <p>I Daushasha sono una band folk/rock&apos;n&apos;roll che propone un sound molto ballabile ed esplosivo, con influenze che spaziano dalla musica balcanica alla taranta, dal cantautorato italiano anni &apos;60 al punk/rock&apos;n&apos;roll.<br>\nIl gruppo &#xE8; formato da sette elementi. <br>\n<br>\nI diversi background in gioco hanno portato allo sviluppo di sonorit&#xE0; ibride che prendono spunto da una solida base di matrice rock che si lascia contaminare dai suoni del violino e della fisarmonica. Questa combinazione di suoni e di influenze crea un sound caratteristico che trova la sua migliore espressione dal vivo. <br>\n<br>\nNell&#x2019;aprile 2013 esce l&#x2019;album &#x201C;Canzoni dal Fosso&#x201D; prodotto da Officine Underground Records, e promosso da Officine Underground Records e Dreamingorilla Records. Il disco, contenente dieci canzoni inedite, ottiene feedback molto positivi da parte della critica musicale e del pubblico, sancendo un ottimo esordio per la formazione veneta. Durante il tour seguito all&#x2019;uscita del primo album, che li ha portati a calcare palchi importanti (Home Festival, Festa d&#x2019;Estate Vascon, Suoni di Marca, Mattorosso, Fishmarket, Home Rock Bar, Scarpe Rotte Festival, Nasty Boys, Musica nelle Aie, Coi pi&#xE8; descalsi Festival) e ad aprire i concerti di artisti del calibro di Tre allegri ragazzi morti, Finaz (Bandabard&#xF2;), Mellow Mood e tanti altri, i Daushasha hanno continuato a comporre nuovi brani. Nei lunghi viaggi in furgone hanno preso forma le prima nuove canzoni del secondo disco. <br>\n<br>\n&#x201C;Luna&#x201D; uscir&#xE0; il prossimo 15 Aprile, anticipato dal video del primo singolo estratto &#x201C;Il freno&#x201D;, registrato e mixato presso il Ferrari Recording Studio e promosso da IndieBox Music.</p></div>\n"	"[{""name"":""Luna"",""date"":"" 2016 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/34501.jpg"",""link"":""http://www.rockit.it/daushasha/album/luna/34501""},{""name"":""Canzoni dal Fosso"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22504.jpg"",""link"":""http://www.rockit.it/daushasha/album/canzoni-dal-fosso/22504""}]"
3393	"Davanita"	"http://www.rockit.it/davanita"	"Band, Sicilia"	"0"	"Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
3394	"Dave Damato"	"http://www.rockit.it/davedamato"	"Band, Milano, Lombardia"	"0"	"Funk, Alternativo, Acustico "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/davedamato""]"	"\n<div class=""content-rece""><p>Dave Damato comincia a suonare la chitarra da ragazzino, all&apos;et&#xE0; di sedici anni nello scantinato del negozio di vestiti dei suoi nonni, nella sua citt&#xE0; natale, Giussano. In questo scantinato trova una batteria Ludwig, sempre del nonno, grazie alla quale impara l&apos;arte dell&apos;essere batterista, oltre che chitarrista.Alle prime armi, sia come chitarrista che come batterista si mette dietro le pelli in una band punk-rock con gli amici. Dopo questa esperienza limitata agli anni del liceo Dave Damato ricevette una proposta di suonare non pi&#xF9; come batterista ma come lead guitar in un AC/DC tribute con degli amici. Questa breve ma fondamentale esperienza aiuta Dave a perfezionare la chitarra rock&apos;n&apos;roll, frenetica e accattivante ed accresce la sua tecnica personale. Negli anni successivi, gli anni dell&apos;universit&#xE0;, ritorna fare il batterista in una pop band, &quot;dear&quot; con la quale scrive un piccolo EP a met&#xE0; tra il rock ed il pop. La band si scioglier&#xE0; quattro anni dopo. A questo punto Dave decide di &quot;mettersi in proprio&quot;, impara a suonare il basso, comincia a studiare l&apos;arte dell&apos; AudioRecording e comincia la vera avventura &quot;Dave Damato&quot; dove Dave si ritrova a comporre la melodia di tutti gli strumenti e a cantare, cosa per lui nuova. Dave si ritrova ad essere cantante, batterista, bassista, chitarrista, percussionista e tastierista. La sua musica riscuote parecchi consensi, tanto che sul sito myspace.com e garageband.com ottiene parecchie visualizzazioni parecchi ascolti e il premio canzone della settimana con TripDiary e The Stars, brani che verranno inseriti nell&apos;album AFTER BREAKFAST. Attualmente sta lavorando in solitaria nel suo &quot;studio&quot; al suo primo album AFTER BREAKFAST, un disco che, come dice il nome, &#xE8; il disco che da il giusto mood alla giornata che sta per cominciare. Un disco molto intimo, a met&#xE0; strada tra il funk, il disco acustico, il pop e il rock. AFTER BREAKFAST &#xE8; l&apos;unione dei pezzi pi&#xF9; significativi del primo EP .</p></div>\n"	"[{""name"":""After breakfast"",""date"":"" 2010 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/13424.jpg"",""link"":""http://www.rockit.it/davedamato/album/after-breakfast/13424""}]"
3395	"Dave Galera"	"http://www.rockit.it/davegalera"	"Band, Veneto"	"0"	"Demenziale "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
3396	"David Colaiacomo"	"http://www.rockit.it/davidcolaiacomo"	"Band, Lazio"	"1"	"Cantautore, Rock, Acustico "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/5505/david-colaiacomo-quello-che-vorremmo-fare"",""/news/david-colaiacomo-hitchin-festival-uk"",""/user/david""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Quello Che Vorremmo Fare"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/davidcolaiacomo/album/quello-che-vorremmo-fare/5505""}]"
3397	"David Coppola"	"http://www.rockit.it/davidcoppola"	"Band, Vicenza, Veneto"	"0"	"Indie, Pop punk, Pop rock "	"url(/thumb700x250/foto/99934.jpg)"	"[""/user/Musicitaly""]"	"\n<div class=""content-rece""><p>David Coppola run away pop-punk pop-rock indie rock italiano</p> <p>David Coppola &#xE8; il nome d&#x2019;arte del giovanissimo cantante e polistrumentista Davide Coppola, nato a Noventa Vicentina (VI) il 26 agosto del 1995. <br>\n<br>\nDavide inizia a muovere i suoi primi passi nel mondo della musica a 11 anni sviluppando ottime capacit&#xE0; nel suonare il pianoforte. Si piazza inoltre nei primi posti di vari concorsi canori. All&#x2019;et&#xE0; di 13 anni inizia a frequentare un corso di chitarra blues durante il quale scopre grandi musicisti come Jimi Hendrix, Eric Clapton e Joe Satriani. A 16 anni entra a far parte di un gruppo rock vicentino. Grazie a questa esperienza ha la possibilit&#xE0; di tenere concerti nella sua citt&#xE0; e di imparare i rudimenti di basso e batteria. Dopo due anni l&#x2019;artista lascia la band per continuare ad esibirsi come solista con chitarra e tastiera. Inizia a comporre i testi e la musica di canzoni in inglese, lingua che gli permette di concentrarsi maggiormente sull&#x2019;aspetto melodico dei pezzi. I brani fanno parte del suo disco d&#x2019;esordio &#x201C;Run Away&#x201D;. L&#x2019;album, disponibile in digital download e sulle principali piattaforme streaming &#xE8; stato anticipato dal singolo omonimo, un energico brano pop-rock dalle influenze pop-punk. &#x201C;Run Away&#x201D; pu&#xF2; essere considerato un concept album in quanto ogni brano tratta temi legati alla societ&#xE0; odierna, logorata da una decadenza culturale, e dell&#x2019;insoddisfazione provata da chi spera in un mondo migliore. Coppola &#xE8; uno di questi e crede che il cambiamento possa partire da noi stessi. Gli argomenti sociali trattati nelle canzoni sono quelli cari alla musica punk rock uniti ad orecchiabili melodie pop.</p></div>\n"	"[{""name"":""\"Run Away\""",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/27984.jpg"",""link"":""http://www.rockit.it/davidcoppola/album/run-away/27984""}]"
3398	"David Green"	"http://www.rockit.it/davidgreen"	"Band, Milano, Lombardia"	"0"	"Rock, Pop, Acustico "	"url(/thumb700x250/foto/123313.jpg)"	"[""/user/pr216065m""]"	"\n<div class=""content-rece""><p>Davide Verde aka David Green</p> <p>Davide Verde aka David Green released his first solo acoustic project &quot;Cigarette Sessions&quot; in 2014.<br>\nThe singer of the rock band V-Device, decided to record a new introspective, meditative, acoustic album to release his pain after a sad period of his life.<br>\nThe songs are often colored by some pianos and synths which create a sort of ambient atmosphere. <br>\nA deep travel into the artist soul.<br>\n<br>\n&quot;Me, myself and my guitar.&#xA0;<br>\nI went through a very bad period and Giacomo Salzano, a true friend of mine, owner of the music studios &quot;Vipchoyo Sound Factory&quot;, invited me to play some acoustic tracks to release my pain.&#xA0;<br>\nI found this practice very helpful, I really didn&apos;t want to spend much time in producing songs: I just wanted to play and sing.&#xA0;<br>\nAs a matter of fact all tracks are live with a very few changes inside.&#xA0;<br>\nI want to thank him and all the friends who helped me in recording this introspective, meditative, acoustic album.<br>\nThank you Giacomo Salzano (producing, editing, synth), Fabio Di Bonito (synth and keyboards in &quot;Speedy Bird&quot;, &quot;Don&apos;t Mind&quot;, &quot;Into the Moonlight&quot;, &quot;Like a Gull&quot;, &quot;The Gold Rush&quot;), Raffaele Bocchetti (guitar in &quot;Speedy Bird&quot;), Gaetano Costanzo (bass in &quot;Don&apos;t Mind&quot;), Andrea Marra (bongos in &quot;The Man wo walks on the Road&quot;), Sabrina Carnevale (background vocals in &quot;The Gold Rush&quot;), Simone Genovese (audio mastering).&#xA0;<br>\nAnd thanks to all my friends: you know who you are.<br>\nIn memory of Brad Huff.&quot;</p></div>\n"	"[{""name"":""Cigarette Sessions"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/34031.jpg"",""link"":""http://www.rockit.it/davidgreen/album/cigarette-sessions/34031""}]"
3399	"David Heaven"	"http://www.rockit.it/davidheaven"	"Band, Campania"	"0"	"Strumentale, New-Wave, Gotico "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/myrockit""]"	"\n<div class=""content-rece""></div>\n"	"[]"
