"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"	"articles"
9619	"Matildamay"	"http://www.rockit.it/matildamay"	"Band, Sicilia"	"1"	"Pop, Noise, Indie, Alternativo "	"url(/thumb700x250/foto/1834.jpg)"	"[""/intervista/catania-10-07-2002"",""/news/hauted-dance-hall-sicilia"",""/recensione/971/matildamay-matildamay""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Matìldamay"",""date"":"" 2000 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/971.jpg"",""link"":""http://www.rockit.it/matildamay/album/matildamay/971""}]"	"[{""title"":""Intervista - Catania, 10-07-2002"",""url"":""http://www.rockit.it/intervista/catania-10-07-2002"",""date"":""30/07/2002""},{""title"":""News - Hauted dance hall in Sicilia"",""url"":""http://www.rockit.it/news/hauted-dance-hall-sicilia"",""date"":""12/02/2002""},{""title"":""Recensione - Matìldamay"",""url"":""http://www.rockit.it/recensione/971/matildamay-matildamay"",""date"":""05/12/2000""}]"
9620	"Matilde & Decumano Sud"	"http://www.rockit.it/matildeedecumanosud"	"Band, Lombardia"	"0"	"Sperimentale, Rock, Psichedelico "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
9621	"Matilde Davoli"	"http://www.rockit.it/matildedavoli"	"Band, Puglia"	"23"	"Indie "	"url(/thumb700x250/foto/103841.jpg)"	"[""/news/mi-ami-festival-2016-cast"",""/news/matilde-davoli-dust-alek-hidell-remix"",""/articolo/game-of-songs-serie-tv-sigle"",""/user/commessa""]"	"\n<div class=""content-rece""><p>Matilde Davoli nasce come cantante chitarrista della band Studiodavoli, che nei primi anni del 2000 &#xE8; stata protagonista della scena musicale alternativa italiana.<br>\nDopo essere stata anche leader del progetto musicale Girl WIth The Gun, adesso affronta una nuova fase musicale pubblicando il suo primo lavoro solista.</p></div>\n"	"[{""name"":""I'm Calling You From my Dreams"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/27465.jpg"",""link"":""http://www.rockit.it/matildedavoli/album/im-calling-you-from-my-dreams/27465""},{""name"":""Rockit Game of Songs"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/33294.jpg"",""link"":""http://www.rockit.it/compilation/rockit-game-of-songs/33294""}]"	"[{""title"":""News - MI AMI Festival 2016: ecco i primi nomi annunciati in lineup · I primi nomi del cast, le prevendite e tutto quello che c'è da sapere sulla dodicesima edizione del Festival della musica importante a Milano"",""url"":""http://www.rockit.it/news/mi-ami-festival-2016-cast"",""date"":""15/03/2016""},{""title"":""News - Première: Matilde Davoli - \"Dust (Alek Hidell Remix)\" · Uno splendido remix per uno dei pezzi più belli dell'anno, \"Dust\" di Matilde Davoli"",""url"":""http://www.rockit.it/news/matilde-davoli-dust-alek-hidell-remix"",""date"":""11/01/2016""},{""title"":""Speciali - Rockit presenta: Game of Songs, le band italiane interpretano le sigle delle serie tv · Da Game of Thrones a Sons of Anarchy, da True Detective a Friends, una selezione delle sigle più amate reinterpretate dalle band italiane"",""url"":""http://www.rockit.it/articolo/game-of-songs-serie-tv-sigle"",""date"":""30/12/2015""},{""title"":""Articolo - Come sono andati i nostri dischi dell'anno su Spotify? · Spotify pubblica il suo Year in Music, un sito creato apposta per tirare le somme su questi 12 mesi. Come è andata per gli italiani?"",""url"":""http://www.rockit.it/articolo/spotify-classifiche-fine-anno-artisti-italiani"",""date"":""18/12/2015""},{""title"":""Speciali - I 50 dischi migliori dell'anno, secondo Rockit · Un anno, il 2015, che è stato interessante su tutti i fronti: rap ed elettronica continuano ad essere i generi più vivi ed innovativi, ma anche il caro vecchio rock non se l'è cavata così male."",""url"":""http://www.rockit.it/articolo/dischi-anno-rockit-2015"",""date"":""16/12/2015""},{""title"":""Speciali - Le 50 migliori canzoni dell'anno, secondo Rockit · Riassumere il meglio di un anno di musica italiana in sole 100 canzoni è un'impresa davvero difficile. Lasciarne dentro solo 50 lo è ancora di più, ma ci abbiamo provato"",""url"":""http://www.rockit.it/articolo/50-migliori-canzoni-anno-rockit"",""date"":""10/12/2015""},{""title"":""News - Ascolta \"Summer ending\" di Matilde Davoli remixata da Jolly Mare · Un brano che vi farà sentire tanta nostalgia dell'estate"",""url"":""http://www.rockit.it/news/matilde-davoli-summer-ending-jolly-mare-remix"",""date"":""03/11/2015""},{""title"":""Articolo - 10 dischi italiani prodotti bene secondo Matilde Davoli · 10 dischi italiani prodotti bene secondo Matilde Davoli"",""url"":""http://www.rockit.ithttp://www.rockit.it/gallery/matilde-davoli-dischi-preferiti-battisti-umiliani-vanoni-tenco/33161-114413"",""date"":""25/09/2015""},{""title"":""News - Qualche bella foto dal Contronatura Festival 2015 · Matilde Davoli, Thegiornalisti, Sondre Lerche e tanti altri, per l'edizione 2015 del Contronatura Festival di Lecce. Un report fotografico ad opera di Alessandro Sozzi"",""url"":""http://www.rockit.ithttp://www.rockit.it/gallery/contronatura-festival-qualche-bella-foto-dal-contronatura-festival-2015-matilde-davoli/32695-112341"",""date"":""24/08/2015""},{""title"":""Intervista - Contronatura Festival, l'isola felice del Salento · Abbiamo scambiato quattro chiacchiere con l'organizzazione del Contronatura Festival, per scoprire un po' di più di questa \"isola felice del Salento\"."",""url"":""http://www.rockit.it/intervista/contronatura-festival-puglia-2015"",""date"":""07/08/2015""},{""title"":""News - Fuorimano Festival a Castellana Grotte: ecco il cast completo e la playlist con tutti gli artisti · Edda, Wow, Nadar Solo, Cosmetic e tanti altri"",""url"":""http://www.rockit.it/news/fuorimano-festival-castellana-grotte-edda-wow"",""date"":""10/07/2015""},{""title"":""Recensione - I'm Calling You From my Dreams · Lo straordinario talento di una musicista che debutta una spanna sopra gran parte degli artisti del nostro paese."",""url"":""http://www.rockit.it/recensione/27465/matilde-davoli-im-calling-you-from-my-dreams"",""date"":""15/06/2015""},{""title"":""News - Matilde Davoli, guarda il nuovo video \"Dust\" · Un nuovo psichedelico video per una delle più promettenti artiste italiane"",""url"":""http://www.rockit.it/news/matilde-davoli-video-dust"",""date"":""08/05/2015""},{""title"":""News - Matilde Davoli, \"Realize\" · Matilde Davoli, voce dei Girl With the Gun e degli Studiodavoli, si prepara a tornare nel 2015 con un bellissimo album solista. Ecco un'anteprima."",""url"":""http://www.rockit.ithttp://www.rockit.it/matildedavoli/album/im-calling-you-from-my-dreams/27465"",""date"":""04/12/2014""}]"
9622	"Matinss"	"http://www.rockit.it/matinss"	"Band, Brindisi, Puglia"	"0"	"Alt-country "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/matinss""]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
9623	"Matisse Dark"	"http://www.rockit.it/matissedark"	"Band, Veneto"	"0"	"Rock "	"url(/thumb700x250/foto/2703.jpg)"	"[""/user/mt214271s""]"	"\n<div class=""content-rece""><p>Il gruppo nasce nel 2000 a Bassano del Grappa. Nel 2002 pubblica il primo demo autoprodotto contenente 6 brani. Partecipa a varie manifestazioni vincendo anche alcuni concorsi. Nel luglio 2002 suona per l&apos;i-tim tour a Trieste in piazza dell&apos;Unit&#xE0; di fronte a circa 2000 persone.La notevole esperienza dal vivo rende il gruppo indubbiamente pi&#xF9; efficace live rispetto che in studio.</p></div>\n"	"[]"	"[]"
9624	"Matka"	"http://www.rockit.it/matka"	"Band, Piemonte"	"0"	"Rock, Pop "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/news/meeting-ehi-amigo-go-samigo"",""/recensione/1027/matka-zen-n3"",""/recensione/324/matka-lavorare-stanca""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Zen n.3"",""date"":"" 2001 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/1027.jpg"",""link"":""http://www.rockit.it/matka/album/zen-n3/1027""},{""name"":""Lavorare Stanca"",""date"":"" 1998 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/324.jpg"",""link"":""http://www.rockit.it/matka/album/lavorare-stanca/324""}]"	"[{""title"":""News - Meeting Ehi Amigo Go Samigo"",""url"":""http://www.rockit.it/news/meeting-ehi-amigo-go-samigo"",""date"":""28/08/2001""},{""title"":""Recensione - Zen n.3"",""url"":""http://www.rockit.it/recensione/1027/matka-zen-n3"",""date"":""08/01/2001""},{""title"":""Recensione - Lavorare Stanca"",""url"":""http://www.rockit.it/recensione/324/matka-lavorare-stanca"",""date"":""12/01/1999""}]"
9625	"Matley"	"http://www.rockit.it/matley"	"Band, Veneto"	"0"	"Crossover, Nu-Metal "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
9626	"matley"	"http://www.rockit.it/matley1"	"Band, Veneto"	"0"	"Alternativo, Nu-Metal "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
9627	"Matmata"	"http://www.rockit.it/matmata"	"Band, Lombardia"	"6"	"Rock, Alternativo "	"url(/thumb700x250/foto/3234.jpg)"	"[""/news/phonocult-festival-dal-14-16-maggio-brescia"",""/recensione/8152/matmata-in-attesa-del-cielo"",""/news/festa-radio-onda-urto-agosto"",""/user/fleisch"",""/user/matmata""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""In attesa del cielo"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/8152.jpg"",""link"":""http://www.rockit.it/matmata/album/in-attesa-del-cielo/8152""},{""name"":""Sai il mio nome (ep)"",""date"":"" 2003 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/matmata/album/sai-il-mio-nome-ep/2716""},{""name"":""s/t"",""date"":"" 2003 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/matmata/album/st/2996""}]"	"[{""title"":""News - Phonocult Festival, dal 14 al 16 maggio a Brescia"",""url"":""http://www.rockit.it/news/phonocult-festival-dal-14-16-maggio-brescia"",""date"":""20/04/2010""},{""title"":""Recensione - In attesa del cielo"",""url"":""http://www.rockit.it/recensione/8152/matmata-in-attesa-del-cielo"",""date"":""29/08/2008""},{""title"":""News - La festa di Radio Onda d'Urto in agosto"",""url"":""http://www.rockit.it/news/festa-radio-onda-urto-agosto"",""date"":""22/07/2008""},{""title"":""News - Serata rock giovedi sera al Rolling Stone"",""url"":""http://www.rockit.it/news/serata-rock-giovedi-sera-rolling-stone"",""date"":""25/02/2004""},{""title"":""Recensione - s/t"",""url"":""http://www.rockit.it/recensione/2996/matmata-st"",""date"":""11/02/2004""},{""title"":""News - Rock Sound Music Awards a Milano"",""url"":""http://www.rockit.it/news/rock-sound-music-awards-milano"",""date"":""26/01/2004""},{""title"":""News - Video e nuove date per i Mallfunk"",""url"":""http://www.rockit.it/news/video-nuove-date-mallfunk"",""date"":""04/11/2003""},{""title"":""Recensione - Sai il mio nome (ep)"",""url"":""http://www.rockit.it/recensione/2716/matmata-sai-il-mio-nome-ep"",""date"":""17/09/2003""}]"
9628	"Matra"	"http://www.rockit.it/matra"	"Band, Milano, Lombardia"	"0"	"Rock'n'roll, Stoner, Hard Rock "	"url(/thumb700x250/foto/88019.jpg)"	"[""/user/Bramino""]"	"\n<div class=""content-rece""><p>4 tizi che suonano Hard Rock in modo creativo.</p> <p>Attivi dal 2002 nell&apos;underground piu&apos; obscuro, band esclusivissima per i soli fans del true Rock and Roll, che sono poche migliaia nel mondo. Per apprezzare i Matra bisogna infatti avere una enciclopedica cognitiva della durezza applicata al Rock, al Blues ed alla Psichedelia dagli anni &apos;50 ad ora. Altrimenti non si riesce a cogliere il genio, ci spiace..(-:<br>\nCmnq 2 album all&apos;attivo - &quot;Missione Delta&quot; (2006 Last Scream Rec) e &quot;Roots2TheSky&quot; (2014 Resisto Distribuzione).</p></div>\n"	"[{""name"":""\"Roots2TheSky\""",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/25423.jpg"",""link"":""http://www.rockit.it/matra/album/roots2thesky/25423""}]"	"[]"
