"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
365	"Adharma"	"http://www.rockit.it/adharma"	"Band, Emilia Romagna"	"3"	"Psichedelico, Progressive, Indie "	"url(/thumb700x250/foto/3800.jpg)"	"[""/recensione/5172/adharma-risvegli"",""/user/ad207310h""]"	"\n<div class=""content-rece""><p>gli Adharma sono un trio di quasi-venticinquenni d&apos;origini sarde. Si sono formati nel 2000 in una ridente (senza motivi apparenti) cittadina del sud-ovest della Sardegna e nel 2002 si sono trasferiti a Bologna. Nel 2005, dopo numerosi concerti per tutto il centro-nord d&apos;Italia, hanno pubblicato &quot;Risvegli EP&quot; per la Jestrai, disco composto da 5 tracce. Il rapporto con l&apos;etichetta bergamasca &#xE8; durato un anno, al termine del quale il gruppo ha iniziato a lavorare al materiale per un nuovo disco.</p></div>\n"	"[{""name"":""Risvegli"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/5172.jpg"",""link"":""http://www.rockit.it/adharma/album/risvegli/5172""}]"
366	"AdHoc"	"http://www.rockit.it/adhocband"	"Band, Padova, Veneto"	"1"	"Rock, Pop rock, Pop "	"url(/thumb700x250/foto/114524.jpg)"	"[""/user/adhocband""]"	"\n<div class=""content-rece""><p>tributo al pop rock internazionale</p> <p>Partito dalla passione per la musica di Giovanni Parise, Adhoc &#xE8; il progetto di cinque musicisti uniti dalla voglia di proporre un repertorio accattivante e mai scontato negli arrangiamenti e nelle scelte musicali.<br>\nLa band spazia con facilit&#xE0; dalle grintose hits di Bon Jovi, Toto, AC/DC e Led Zeppelin, per poi condurre l&apos;ascoltatore nelle suggestioni del pop-rock al femminile come Anouk, Skunk Anansie, Gianna Nannini, Adele ed Elisa.<br>\nIl tutto reinterpretato con un tocco di originalit&#xE0; e personalit&#xE0;. Non mancano le ballad che hanno lasciato un segno nella storia della musica fino agli ultimi singoli del momento, veri e propri &quot;instant classic&#x201D;.<br>\nIlenia, Giovanni, Marco &#x201C;Bielo&#x201D;, Simone e Damiano. Questi sono gli Adhoc. Ogni volta un live diverso ma sempre un&apos;emozione unica.</p></div>\n"	"[]"
367	"adieu,christiania"	"http://www.rockit.it/slowdive"	"Band, bergamo/padova (BG), Lombardia"	"0"	"Psichedelico, Noise, Dark "	"url(/thumb700x250/foto/20166.jpg)"	"[""/user/slowdive""]"	"\n<div class=""content-rece""><p>band nata a bergamo nel 2006.I componenti provengono da esperienze musicali eterogenee (dark, punk, no wave..)</p></div>\n"	"[]"
368	"Adimiron"	"http://www.rockit.it/adimiron"	"Band, Puglia"	"0"	"Metal "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""><p>Dopo un promettentissimo demo di nome Everlasting Fight e un tour di oltre 45 date con partecipazioni da spalla a gruppi del calibro di DESTRUCTION,VICIOUS RUMORS,DRAKKAR,OPERAIX e molti altri,gli Adimiron ritornano sulla scena con Eclipse mini Cd autoprodotto contenente 5 brani di puro Melodic-Black Death metal grazie al quale hanno ottenuto ottime recensioni e interviste su tutte le testate giornalistiche metal pi&#xF9; famose in italia e un posto nel bill di un prestigioso tour Europeo di oltre 22 date!!!</p></div>\n"	"[]"
369	"AdirA"	"http://www.rockit.it/adira"	"Band, Piemonte"	"0"	"Rock, Pop "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
370	"adl-crew"	"http://www.rockit.it/radioheadstile"	"Band, Lombardia"	"0"	"Sperimentale, Rock, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/radioheadstile""]"	"\n<div class=""content-rece""></div>\n"	"[]"
371	"ADMAL"	"http://www.rockit.it/admal"	"Band, Genova, Liguria"	"0"	"Rock, Pop, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/ad245166m"",""/user/admal""]"	"\n<div class=""content-rece""><p>Quando parliamo di ADMAL ci riferiamo a quella band legata al culto del Rock capace di unire chitarre graffianti alla poesia della musica italiana. Il Gruppo nasce nel 2002 e gi&#xE0; a partire dall&apos;anno successivo si trova a dover affrontare un&apos;intensa attivit&#xE0; live in Liguria e nel Nord Italia, suonando in manifestazioni di piazza, motoraduni, festival, trasmissioni televisive e concorsi, raccogliendo numerosi consensi da parte di un pubblico decisamente eterogeneo. Successivamente gli ADMAL pubblicano due Promo-CD, tra i quali TERRA PRIMITIVA, citata sul mensile &#x201C;Tutto Musica&#x201D; come demo del mese di maggio 2004, permettendo cos&#xEC; alla Band di apparire sugli schermi di Rock TV. Negli anni successivi la band si trova ad affrontare un cruciale cambio di line-up; pur mantenendo inalterato quello che rappresenta il cuore della band ovvero Davide alla voce ed Alessandro alle chitarre, si giunge ad una nuova e stabile formazione con l&#x2019;ingresso di Michele al basso e Stefano alla batteria e pianoforte. Il 2010 rappresenta un anno fondamentale per la storia del gruppo durante il quale tutti gli sforzi sono concentrati nella composizione e registrazione delle 11 canzoni che compongono l&#x2019;album &#x201C;SP 225&#x201D; interamente prodotto dagli ADMAL ed edito dalla Joyful Records &#x2013; Dughero Paolo Ed. Musicali / Warner Chappell Music Italiana S.r.l. Il 2011 si apre sull&#x2019;onda di un&#x2019;intensa attivit&#xE0; live e vede l&#x2019;ingresso nella formazione di Fulvio alla chitarra: lo spettacolo proposto dagli ADMAL &#xE8; all&#x2019;insegna della musica rock d&#x2019;autore con la rivisitazione di grandi successi della musica italiana, uno show energico che vede riproposti classici e pezzi originali in un crescendo d&#x2019;intensit&#xE0; nello stile inconfondibile della band. Il cd &#x201C;ADMAL &#x2013; SP 225&#x201D;, disponibile da met&#xE0; aprile, &#xE8; acquistabile direttamente dal sito <a href=""http://www.admal.com"" target=""_blank"" rel=""nofollow"">www.admal.com</a> oppure in formato digitale su iTunes ed Amazon!</p></div>\n"	"[{""name"":""Admal - SP225"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/16947.jpg"",""link"":""http://www.rockit.it/admal/album/admal-sp225/16947""},{""name"":""Admal - Terra primitiva"",""date"":"" 2004 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/16948.jpg"",""link"":""http://www.rockit.it/admal/album/admal-terra-primitiva/16948""}]"
372	"Adore"	"http://www.rockit.it/adore"	"Band, Bologna, Emilia Romagna"	"0"	"Rock, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/adore""]"	"\n<div class=""content-rece""></div>\n"	"[]"
373	"Adramelch"	"http://www.rockit.it/adramelch"	"Band, Lombardia"	"0"	"Progressive, Metal, Hard Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/5354/adramelch-broken-history"",""/user/adramelch""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Broken History"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/5354.jpg"",""link"":""http://www.rockit.it/adramelch/album/broken-history/5354""}]"
374	"Adrenalin"	"http://www.rockit.it/adrenalin"	"Band, Abruzzo"	"0"	"Hardcore, Crossover, Nu-Metal "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/ad066881r""]"	"\n<div class=""content-rece""><p>Il gruppo nasce nell&#x2019;autunno del 2000, allora eravamo solo in tre: Stefano Tatasciore, Fabrizio Ricci e Davide Bocola. All&#x2019;inizio suonavamo cover con l&#x2019;ausilio di basi e batteria midi, successivamente s&#x2019;inser&#xEC; Marco Di Peppe alla batteria. Dopo varie partecipazioni a concorsi e manifestazioni locali, tra cui le edizioni del 2001 e del 2002 di &#x201C;strade musicali&#x201D;, si aggiunse un secondo chitarrista per rafforzare il sound e l&#x2019;impatto live, Giulio Michetti. Di l&#xEC; a poco l&#x2019;ingresso di un nuovo componente: Fabrizio Marulli, dj, che ha cos&#xEC; completato l&#x2019;attuale formazione e ha aperto nuove possibilit&#x2026;</p></div>\n"	"[]"
