"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
3275	"Dainocova"	"http://www.rockit.it/dainocova"	"Band, Cagliari, Sardegna"	"5"	"Pop rock, Cantautore, Alternativo "	"url(/thumb700x250/foto/120179.jpg)"	"[""/recensione/33321/dainocova-dark-tropicana"",""/recensione/18916/dainocova-fuga-da-scuola"",""/recensione/16846/sampler-02"",""/user/Dainocova"",""/user/fleisch"",""/user/mokaproduzioni""]"	"\n<div class=""content-rece""><p>Dainocova &#xE8; un cantautore polistrumentista, dopo aver suonato e collaborato con numerose band <br>\ndella scena indie sarda tra cui Trees of mint, Hola la Poyana, Diverting Duo, nel 2003 scrive <br>\ne registra  una serie di brani in chiave pop low-fi con cui inizia ad esibirsi dal vivo.<br>\n<br>\nFino al 2008 viaggia per l&apos;Europa dai Paesi dell&apos;est fino a Parigi, passando per Vienna e la Germania. Successivamente si trasferisce per un anno in Australia, per due ad Atene e infine a Torino dove collabora con cantautori come Stefano Amen e Matteo Castellano, continua a comporre, affinando le tecniche e includendo ciclicamente la pittura che ne completa spesso l&apos;immaginario.<br>\n<br>\nNell&apos;autunno del 2012 esce &#x201C; FUGA DA SCUOLA&quot; il suo primo disco in studio.<br>\nNove brani d&apos;autore in chiave pop rock resi caratteristici da una scrittura poetica, trasversale e molto personale, tra questi anche il brano Perso in campagna con cui &#xE8; stato artista della settimana su MTV new generation.<br>\nSeguono un minitour nella penisola e anni di intensa e variegata attivit&#xE0; live che includono anche i brani rimasti fuori dalle session, sempre incline alla  sperimentazione cambia di volta in volta l&apos;approcio sul palco, passa dal full acoustic solo al live looping, da formazioni duo folk minimale a ensamble di stampo post rock.<br>\nIl 2015 &#xE8; un anno di pausa lontano dal palco e durante l&apos;estate inizia la stesura e registrazione del secondo album composto da 10 brani inediti intitolato &#x201C;Dark Tropicana&#x201D;. L&apos;uscita del disco in collaborazione con Moka Produzioni &#xE8; prevista per il 19 Gennaio 2016.</p></div>\n"	"[{""name"":""Dark Tropicana"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/33321.jpg"",""link"":""http://www.rockit.it/dainocova/album/dark-tropicana/33321""},{""name"":""Ultimo banco Ep"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19726.jpg"",""link"":""http://www.rockit.it/dainocova/album/ultimo-banco-ep/19726""},{""name"":""Fuga da scuola"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/18916.jpg"",""link"":""http://www.rockit.it/dainocova/album/fuga-da-scuola/18916""},{""name"":""Sampler 02"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/16846.jpg"",""link"":""http://www.rockit.it/compilation/sampler-02/16846""}]"
3276	"Daire"	"http://www.rockit.it/daire"	"Band, Lazio"	"0"	"Punk, Pop, Hardcore "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
3277	"Daisy Chains"	"http://www.rockit.it/daisychains"	"Band, Bergamo, Lombardia"	"13"	"Indie, Alternativo, Pop rock "	"url(/thumb700x250/foto/91534.jpg)"	"[""/recensione/22497/daisy-chains-endorphin-rush"",""/recensione/19497/daisy-chains-donors"",""/recensione/11980/daisy-chains-monster-e-pills"",""/user/daisychains""]"	"\n<div class=""content-rece""><p>#loveusbecausewecare</p> <p>We come from Lecco, Paris, Los Angeles and Bergamo, but we formed in Milan in 2008. In 2009 we self-released &quot;Monsters&amp;Pills&quot;, where we could show up our personal first version of what is commonly known as indie rock. Then, gigs, gigs and gigs again till 2011, when we and Milan-based indie label &quot;RocketMan Records&quot; intercept each other. So and there was born &quot;A Story Has No beginning Or End&quot;, our second version of what is universally known as indie rock. Just a bit more punk and snobbish. In 2012 it&apos;s time to go back to the vinyl with Donors.  2013 starts with a new lineup and a new collaboration with Dischi Soviet Studio which leads to a new release, the EP &quot;Endorphin Rush&quot;.<br>\n<br>\nVeniamo da Lecco, Parigi, Los Angeles e Bergamo, ma ci siamo formati a Milano nel 2008. Nel 2009 abbiamo pubblicato &quot;Monsters &amp; Pills&quot;, mostrando la nostra prima versione personale di ci&#xF2; che &#xE8; comunemente noto come indie rock. Poi, concerti, concerti fino al 2011, quando siamo stati intercettati dall&#x2019;etichetta indie milanese &quot;Rocketman Records con cui abbiamo pubblicato &#x201C;A Story Has No Beginning Or End&#x201D; la nostra seconda versione di quello che &#xE8; universalmente conosciuto come indie rock. Solo un po&apos; pi&#xF9; punk e snob. Nel 2012 sempre RMR esce&#x201C;Donors&#x201D; in vinile. Nel 2013 inizia con una nuova la collaborazione con Dischi Soviet Studio che porta a una nuova release, l&apos;EP &quot;Endorphin Rush&quot;.</p></div>\n"	"[{""name"":""Endorphin Rush"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22497.jpg"",""link"":""http://www.rockit.it/daisychains/album/endorphin-rush/22497""},{""name"":""DONORS"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19497.jpg"",""link"":""http://www.rockit.it/daisychains/album/donors/19497""},{""name"":""A Story Has No Beginning Or End"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/15615.jpg"",""link"":""http://www.rockit.it/daisychains/album/a-story-has-no-beginning-or-end/15615""},{""name"":""Monster & Pills"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/11980.jpg"",""link"":""http://www.rockit.it/daisychains/album/monster-e-pills/11980""}]"
3278	"Daisy Lover"	"http://www.rockit.it/daisylover"	"Band, Lazio"	"1"	"Noise "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/daisylover""]"	"\n<div class=""content-rece""></div>\n"	"[]"
3279	"Dajadeu"	"http://www.rockit.it/dajadeu"	"Band, Estero"	"1"	"Psichedelico, Elettronico, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/Dajadeu""]"	"\n<div class=""content-rece""><p>Atavonic Rock</p> </div>\n"	"[{""name"":""Dajadeu"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/32806.jpg"",""link"":""http://www.rockit.it/dajadeu/album/dajadeu/32806""}]"
3280	"Dajvenvija"	"http://www.rockit.it/dajvenvija"	"Band, Toscana"	"0"	"Industrial, Gotico "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/4249/dajvenvija-physalia"",""/user/bd305149z""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Physalia"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dajvenvija/album/physalia/4249""}]"
3281	"Dakrua"	"http://www.rockit.it/dakrua"	"Band, Lombardia"	"0"	"Metal, Gotico "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Shifting Realities"",""date"":"""",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dakrua/album/shifting-realities/31208""}]"
3282	"Dalia Nera"	"http://www.rockit.it/dalianera"	"Band"	"0"	"Rock, Hard Rock, Nu-Metal "	"url(/thumb700x250/foto/12895.jpg)"	"[""/user/dalianera""]"	"\n<div class=""content-rece""></div>\n"	"[]"
3283	"Dallas"	"http://www.rockit.it/dallas"	"Band, Siracusa, Sicilia"	"2"	"Lo-Fi, Alternativo, Acustico "	"url(/thumb700x250/foto/27076.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""YOU SING FOR STUDIO APARTMENTS"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/11953.jpg"",""link"":""http://www.rockit.it/dallas/album/you-sing-for-studio-apartments/11953""}]"
3284	"DALLAZ"	"http://www.rockit.it/dallaz"	"Band, Camposampiero (PD), Veneto"	"0"	"Rock, Elettronico, IDM "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/DALLAZ""]"	"\n<div class=""content-rece""><p>Dallaz &#xE8; produttore,compositore di musica, diciamo elettronica, che suona la chitarra e prova a fare qualcosa di originale, come tutti, ma a suo modo.</p> <p>DALLAZ &#xE8; una One Man Band composta da Alberto Dalla Zuanna, che alla fine sarei io, che brutto parlare in terza persona.. Ad ogni modo faccio delle canzoni e le faccio ascoltare alla gente da qualche tempo a questa parte e la cosa mi d&#xE0; profonda gioia.</p></div>\n"	"[{""name"":""Paint the background"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19735.jpg"",""link"":""http://www.rockit.it/dallaz/album/paint-the-background/19735""}]"
