"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"	"articles"
7314	"Jemmin"	"http://www.rockit.it/jemmin"	"Band, Sicilia"	"0"	"Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/jemmin""]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
7315	"JENA"	"http://www.rockit.it/jena"	"Band, Padova, Veneto"	"3"	"Rock, Noise "	"url(/thumb700x250/foto/4364.jpg)"	"[""/news/prossime-serate-gigapaluusa"",""/user/aleriello""]"	"\n<div class=""content-rece""><p>Il garage dove provano gli JENA si riempie di strumenti verso la fine del 2005. L&#x2019;anno successivo suonano nei locali di Padova e provincia, arrivano in finale al GreenRock Contest e partecipano alla rassegna &#x201C;Sosteniamo la musica indipendente&#x201D; (parteciperanno anche alla seconda e terza edizione) assieme a gruppi emergenti della provincia. Ad ottobre entrano nello studio di Devis Costa (W.R.P.S.) per registrare un ep di 5 tracce, riarrangiando i brani con l&#x2019;aiuto dei sinth analogici di Alessandro Fior, gi&#xE0; White Room Project, che entra a far parte della band. Alla fine dell&#x2019;anno presentano l&#x2019;ep&#x2026;</p></div>\n"	"[{""name"":""il giorno che "",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9601.jpg"",""link"":""http://www.rockit.it/jena/album/il-giorno-che/9601""},{""name"":""Jena EP"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/8364.jpg"",""link"":""http://www.rockit.it/jena/album/jena-ep/8364""}]"	"[{""title"":""News - Le prossime serate del Gigapaluusa"",""url"":""http://www.rockit.it/news/prossime-serate-gigapaluusa"",""date"":""12/02/2007""}]"
7316	"JENA"	"http://www.rockit.it/JENAfavero"	"Band, Milano, Lombardia"	"0"	"Rock, New-Wave, Alternativo "	"url(/thumb700x250/foto/123428.jpg)"	"[""/user/camilla.pusateri""]"	"\n<div class=""content-rece""><p>Jena, voce del punk italiano Novanta e Duemila, torna protagonista della scena rock con Bruklin, tra sound vintage new wave e atmosfere dark</p> <p>JENA (aka Gianluca Favero) nasce musicalmente nel 1989 come leader dei Blak Vomit, band che domina la scena punk e undergruond del Nord Italia del ventennio successivo.<br>\nJena e la sua band sciorinano da subito una musica ruvida, senza compromessi, essenziale e cruda che caratterizza i primi dischi &quot;Nausea da Punk&quot; (1993), &quot;Spruzzuppen&quot; (1995) e l&apos;EP dal vivo &quot;Fantasma Live&quot; (1996).Dopo una lunga serie di concerti e partecipazioni ad eventi live come Milano Suona, Jena e i Blak Vomit entrano nel roster del produttore Franco Godi (gi&#xE0; con Articolo 31 e Gemelli DiVersi) incidendo il disco Paradiso dei Dannati con il quale, dopo un fortunato tour, aprono  al Monza Rock Festival nel 1999 suonando insieme a Litfiba, Pino Daniele e Aerosmith. <br>\nIl singolo Paura &#xE8; selezionato come unico pezzo rock della colonna sonora del film &#x201C;Senza filtro&#x201D; (pellicola cinematografica del 2001).<br>\nNel 2002 la band decide di tornare verso l&#x2019;underground realizzando una serie dischi autoprodotti e con un suono lo-fi come: Kalifornia Paranoia (2003), Club 100 (2004), Il pazzo (2005), Bastida Pancarana (2006), La Fortuna degli stronzi (2007) e Karnefixina (2010) concentrandosi molto sull&#x2019;attivit&#xE0; live.<br>\nDopo alcuni anni di live in giro per l&#x2019;Italia Jena decide di tornare negli studi Indiehub di Milano per registrare il suo primo album solista BRUKLIN, in uscita il 25 settembre 2015 per l&#x2019;etichetta Musica Cruda distribuito da Believe Digital su iTunes e nei principali stores digitali, presentato dai singoli &quot;Uomo da corsa&quot; e &quot;Polverina&quot;.</p></div>\n"	"[{""name"":""BRUKLIN"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/30807.jpg"",""link"":""http://www.rockit.it/JENAfavero/album/bruklin/30807""}]"	"[]"
7317	"Jenni Gandolfi"	"http://www.rockit.it/jennigandolfi"	"Band, Mantova, Lombardia"	"0"	"Cantautore, Bluegrass, Pop "	"url(/thumb700x250/foto/19206.jpg)"	"[""/user/jennigandolfi""]"	"\n<div class=""content-rece""><p>www.jennigandolfi.com</p> <p>per la biografia completa visitate la sezione &quot;BIO&quot; nel sito <a href=""http://www.jennigandolfi.com"" target=""_blank"" rel=""nofollow"">www.jennigandolfi.com</a></p></div>\n"	"[{""name"":""Crescere"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/10924.jpg"",""link"":""http://www.rockit.it/jennigandolfi/album/crescere/10924""}]"	"[]"
