"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"	"articles"
3487	"Dealma"	"http://www.rockit.it/Dealma"	"Band, Olbia Tempio, Sardegna"	"1"	"Grunge, Crossover, Alternativo "	"url(/thumb700x250/foto/99937.jpg)"	"[""/recensione/27981/dealma-ritual"",""/user/Dealmaofficial""]"	"\n<div class=""content-rece""><p>Dealma Alternative-Rock from Sardinia (Italy)</p> <p>5 ragazzi di un isola.. una band del nord Sardegna nata nell&apos;estate del 2005, che trova la dimensione tanto cercata solo con l&apos;attuale formazione nel giugno del 2009. Passione, amore profondo per la musica e positivit&#xE0; sono gli ingredienti che fanno da collante nel loro percorso artistico. Negli ultimi anni hanno avuto il privilegio e l&apos;onore di poter suonare in palchi nazionali e internazionali (Germania, Ungheria, Olanda, Inghilterra) e di dividere il palco con alcuni tra i migliori artisti della scena Italiana (Marta Sui Tubi, Linea77, Diaframma, Luci Della Centrale Elettrica, Roy Paci e Aretuska, Motel Connection, Tre Allegri Ragazzi Morti, Omar Pedrini ed altri..)<br>\n<br>\nLa loro musica si rispecchia nel Rock, Grunge, Crossover, Alternative, Stoner, Funk, Elettronica</p></div>\n"	"[{""name"":""Ritual"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/27981.jpg"",""link"":""http://www.rockit.it/Dealma/album/ritual/27981""}]"	"[{""title"":""Recensione - Ritual · Idee originali per ravvivare un genere molto codificato"",""url"":""http://www.rockit.it/recensione/27981/dealma-ritual"",""date"":""18/03/2015""}]"
3488	"deamantide"	"http://www.rockit.it/deamantide"	"Band, San Demetrio Corone (CS), Calabria"	"0"	"Rock, Metal, Nu-Metal "	"url(/thumb700x250/foto/76767.jpg)"	"[""/recensione/22936/deamantide-guerriero"",""/user/giuseppep""]"	"\n<div class=""content-rece""><p>Band Metal Italiana</p> <p>Deamantide &#xE8; una band composta da 5 membri con sede a San Demetrio Corone (CS). L&apos;idea del progetto &#xE8; partita da Santo Gabriele e Davide Salimbeni, rispettivamente chitarrista e batterista della band, nella primavera del 2012. Gli altri componenti sono stati &#x201C;reclutati&#x201D; subito dopo, in quanto conoscenti o vecchi collaboratori. Cos&#xEC; entrano a far parte della band Salvatore Fusaro da Acri (CS) come cantante, Salvatore De Paola alla chitarra e Angelo Ferraro al basso. Pur provenendo da generi musicali dalle sfumature differenti, la fusione e la collaborazione, porta la band a identificarsi nel genere metal, caratterizzato dai testi in lingua italiana e dalle diverse influenze che i componenti hanno maturato nel loro percorso musicale.</p></div>\n"	"[{""name"":""Guerriero"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22936.jpg"",""link"":""http://www.rockit.it/deamantide/album/guerriero/22936""}]"	"[{""title"":""Recensione - Guerriero · Meno male che è un brano solo."",""url"":""http://www.rockit.it/recensione/22936/deamantide-guerriero"",""date"":""21/08/2013""}]"
3489	"Deamesta"	"http://www.rockit.it/deamesta"	"Band, Trentino Alto Adige"	"1"	"Stoner, Post-Rock "	"url(/thumb700x250/foto/3932.jpg)"	"[""/user/deamesta""]"	"\n<div class=""content-rece""><p>Breve biografia I vicodin (il nome deriva da un anti-depressivo molto diffuso negli Stati Uniti) nascono nel 2005 con l&apos;intento di suonare stoner rock, ma gi&#xE0; dalle prime prove risulta evidente la volont&#xE0; di non legarsi ad un solo genere, e cresce il desiderio di produrre qualsiasi tipo di suono che risulti potente e veloce. I testi sono in italiano e in inglese, la struttura musicale caratterizzata da una schizofrenia impossibile da contenere in classiche forme-canzone. Il gruppo &#xE8; composto dai fratelli Stefano e Dario Zanardi( rispettivamente basso-voce e chitarra-cori) e da Maurizio&quot;Rig&#x2026;</p></div>\n"	"[{""name"":""\"28 secondi di\" deamesta"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/deamesta/album/28-secondi-di-deamesta/4081""}]"	"[]"
3490	"dear"	"http://www.rockit.it/dearband"	"Band, Lombardia"	"0"	"Rock, Pop, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/dearband""]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
3491	"Dear"	"http://www.rockit.it/dear"	"Band, Lombardia"	"1"	"Rock'n'roll, Rock, Pop "	"url(/thumb700x250/foto/1154.jpg)"	"[""/user/davedear""]"	"\n<div class=""content-rece""><p>dear. band pop rock influenzata dal brit pop e dal rock alternativo i dear sono attualmente al lavoro con un grande arrangiatore ( zucchero, irene) per maggiori info <a href=""http://www.dearmusic.net"" target=""_blank"" rel=""nofollow"">www.dearmusic.net</a>!</p></div>\n"	"[{""name"":""brano promo - album da definire - anteprima !"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dear/album/brano-promo-album-da-definire-anteprima/8920""},{""name"":""EP: a walk inside you're soul"",""date"":"" 2004 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dear/album/ep-a-walk-inside-youre-soul/5008""}]"	"[]"
3492	"Dear Baby Deer"	"http://www.rockit.it/DearBabyDeer"	"Band, Estero"	"1"	"New-Wave, Alternativo, Shoegaze "	"url(/thumb700x250/foto/94773.jpg)"	"[""/recensione/33002/dear-baby-deer-end-of-the-rope-single"",""/recensione/27076/dear-baby-deer-tryst-mini-lp"",""/recensione/24662/dear-baby-deer-i-never-thought-you-would-come-along-ep"",""/user/DearBabyDeer""]"	"\n<div class=""content-rece""><p>Alternative/Shoegaze/Indie band, for lovers of Mazzy Star, Mogwai, Sparklehorse, Spiritualized, The XX, Depeche Mode</p> <p>Dear Baby Deer &#xE8; un progetto cullato dal freddo etereo della Finlandia, dove vede la luce tra la fine del 2013 e l&apos;inizio del 2014 come veicolo solista di Gianluca, gi&#xE0; maggiore compositore e fondatore alla fine degli anni &apos;90 dei Divine, protagonisti di una breve ma interessante avventura con il CPI - Consorzio Produttori Indipendanti, sfociata in due album - uno mai pubblicato - e un anno di concerti, da soli o assieme a vari membri del Consorzio (CSI, Disciplinatha, Ustmam&#xF2;, etc), esattamente nel periodo in cui le sonorit&#xE0; shoegaze/triphop cominciavano ad affermarsi in Italia.<br>\n<br>\nSeguendo lo stesso principio con cui le superfici fresche generano rugiada condensando gli infiniti umori del mattino in minuscole gocce, Dear Baby Deer rappresenta la sintesi, estremamente concentrata, di quindici anni di esperienza in ambito musicale e personale, come si pu&#xF2; desumere sin dall&apos;ascolto del primo singolo.<br>\n&#x201C;Nevermind, we are not here&#x201D; &#xE8; il brano che anticipa l&apos;uscita di &quot;Tryst&quot; (letteralmente: &quot;un&apos;incontro sentimentale tenuto segreto&quot;), secondo EP di Dear Baby Deer, registrato presso il Colonnella Sound Studio dei Two Fates, che comprende sette pezzi scritti, arrangiati e suonati da Gianluca che per la prima volta si occupa, oltre che di tutte le parti strumentali, anche delle voci, creando un binomio armonico con Lilia, nome emergente dell&apos;indietronica italiana che collabora all&apos;album.<br>\n<br>\n&#x201C;Nevermind, we are not here&#x201D; &#xE8; il racconto di due vite ormai parallele, nutrite da assenze fisiche e ricordi che rimangono, e come tutte le creazioni di Dear Baby Deer risente dell&apos;impostazione artigianale del processo creativo. &#x201C;Tutti gli elementi hanno la stessa importanza.&#x201D; spiega Gianluca. &#x201C;La voce &#xE8; uno strumento come gli altri. Ogni nota &#xE8; preziosa. lavorare sul suono, sulla singola nota, prima da sola, poi immersa in riverbero, delay ed altro, &#xE8; un lavoro artigianale. Io non uso loop in<br>\nfase compositiva o di registrazione. Anche la batteria, viene fatta mettendo in fila suono dopo suono, scegliendo ogni tipo di percussione. Per tutti gli strumenti, registro ogni singola pista separatemente, come se ci fosse una band di quattro o cinque elementi con me, e, in un certo senso come se fossimo ancora nel &apos;94. Poi si lavora sugli effetti (e qui la tecnologia moderna &#xE9; utile, dato che un software come Ableton rende le cose pi&#xF9; semplici in post-produzione, e si cerca un suono che sia caldo, aperto, il piu ampio possibile, e il pi&#xF9; morbido e (al tempo stesso) profondo possibile; tutto insieme. E non deve suonare come quello che hai sentito in qualche locale, o alla radio. Deve suonare come vuoi tu.&#x201D;<br>\n<br>\nBuon ascolto.<br>\n<br>\nSegui, Leggi o Ascolta Dear Baby Deer su:<br>\nTwitter: @Dear_Baby_Deer<br>\nFB: facebook.com/dearbabydeer<br>\nSC: soundcloud.com/dear-baby-deer<br>\nBC: dearbabydeer.bandcamp.com<br>\n<br>\n------------------------------------------------------------------<br>\nDear Baby Deer are an Indie/Alternative band formed in early 2014. Their sound is warm, atmospheric and dreamy; their songs have a rich texture of guitar sounds and cathartic melodies with occasional shifts to more noisy and distorted episodes. <br>\n<br>\nDear Baby Deer was influenced by the 1990s shoegaze scene, early 4AD productions, and bands like Red House Painters, Mazzy Star, The XX, Curve, My Bloody Valentine, Breeders, Cure, Mogwai. <br>\n<br>\nTheir first EP: &quot;I Never Thought You Would Come Along&quot; is available for download &amp; streaming on Bandcamp, Spotify, iTunes &amp; other major retailers and streaming services. The EP features 5 original tracks and a special set of e-cards with extra artwork and lyrics, all crafted by the band. <br>\n<br>\nA second EP, entitled &quot;Tryst&quot;, has recently completed with 7 new songs, together with a few remixes of their early tracks as a bonus. UK-based, Dear Baby Deer is looking for a tour manager, a distribution partner and a creative record label for future work.<br>\n<br>\nDear Baby Deer<br>\nG: All Instruments, Vocals<br>\n+<br>\nLilia: Additional Vocals<br>\n<br>\nDownload: dearbabydeer.bandcamp.com<br>\nListen: soundcloud.com/dear-baby-deer<br>\nFollow @Dear_Baby_Deer<br>\nRead: facebook.com/dearbabydeer<br>\nVisit: <a href=""http://www.dearbabydeer.com"" target=""_blank"" rel=""nofollow"">www.dearbabydeer.com</a></p></div>\n"	"[{""name"":""End of the Rope (Single)"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/33002.jpg"",""link"":""http://www.rockit.it/DearBabyDeer/album/end-of-the-rope-single/33002""},{""name"":""I Never Thought You Would Come Along (EP)"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/24662.jpg"",""link"":""http://www.rockit.it/DearBabyDeer/album/i-never-thought-you-would-come-along-ep/24662""},{""name"":""Tryst (Mini-LP)"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/27076.jpg"",""link"":""http://www.rockit.it/DearBabyDeer/album/tryst-mini-lp/27076""},{""name"":""Rockit Vol. 63"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/27099.jpg"",""link"":""http://www.rockit.it/compilation/rockit-vol-63/27099""}]"	"[{""title"":""Recensione - End of the Rope (Single) · Mistero e classe nel singolo degli Dear Baby Deer"",""url"":""http://www.rockit.it/recensione/33002/dear-baby-deer-end-of-the-rope-single"",""date"":""05/01/2016""},{""title"":""Recensione - Tryst (Mini-LP) · Favole shoegaze, panorami dreamy ed elettronica adatta alle nostre rese memorabili."",""url"":""http://www.rockit.it/recensione/27076/dear-baby-deer-tryst-mini-lp"",""date"":""14/01/2015""},{""title"":""Recensione - I Never Thought You Would Come Along (EP) · Morbido shoegaze con coloriture glam, un viaggio introspettivo ricco di suoni psichedelici. Un buon EP."",""url"":""http://www.rockit.it/recensione/24662/dear-baby-deer-i-never-thought-you-would-come-along-ep"",""date"":""24/03/2014""},{""title"":""News - Smista cd, tre dischi belli e uno brutto per la primavera alle porte · Smista CD, ovvero i dischi ascoltati al volo in redazione"",""url"":""http://www.rockit.it/news/smista-cd-tre-dischi-belli-alle-porte-della-primavera"",""date"":""14/03/2014""}]"
3493	"Deasonika"	"http://www.rockit.it/deasonika"	"Band, Lombardia"	"76"	"Rock, New-Wave, Alternativo "	"url(/thumb700x250/foto/2214.jpg)"	"[""/news/deasonika-si-prendono-pausa"",""/news/massimo-volume-lugano-sabato-16-maggio"",""/recensione/10413/deasonika-tredici-pose""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Tredici Pose"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/10413.jpg"",""link"":""http://www.rockit.it/deasonika/album/tredici-pose/10413""},{""name"":""s/t"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/5424.jpg"",""link"":""http://www.rockit.it/deasonika/album/st/5424""},{""name"":""Deasonika"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/32374.jpg"",""link"":""http://www.rockit.it/deasonika/album/deasonika/32374""},{""name"":""Il giorno della mia sana follia (single)"",""date"":"" 2004 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/3109.jpg"",""link"":""http://www.rockit.it/deasonika/album/il-giorno-della-mia-sana-follia-single/3109""},{""name"":""Piccoli dettagli al buio"",""date"":"" 2004 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/3425.jpg"",""link"":""http://www.rockit.it/deasonika/album/piccoli-dettagli-al-buio/3425""},{""name"":""L’uomo del secolo"",""date"":"" 2001 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/1429.jpg"",""link"":""http://www.rockit.it/deasonika/album/luomo-del-secolo/1429""}]"	"[{""title"":""News - I Deasonika si prendono una pausa"",""url"":""http://www.rockit.it/news/deasonika-si-prendono-pausa"",""date"":""12/01/2010""},{""title"":""News - I Massimo Volume a Lugano, sabato 16 maggio"",""url"":""http://www.rockit.it/news/massimo-volume-lugano-sabato-16-maggio"",""date"":""08/05/2009""},{""title"":""Recensione - Tredici Pose"",""url"":""http://www.rockit.it/recensione/10413/deasonika-tredici-pose"",""date"":""24/02/2009""},{""title"":""News - I Deasonika presentano il nuovo disco a Roma"",""url"":""http://www.rockit.it/news/deasonika-presentano-nuovo-disco-roma"",""date"":""19/11/2008""},{""title"":""News - Nei negozi il nuovo album di Syria"",""url"":""http://www.rockit.it/news/nei-negozi-nuovo-album-syria"",""date"":""08/02/2008""},{""title"":""Intervista - Goganga, Milano, 30-03-2006"",""url"":""http://www.rockit.it/intervista/goganga-milano-30-03-2006"",""date"":""25/06/2006""},{""title"":""News - Deasonika supporter per Placebo"",""url"":""http://www.rockit.it/news/deasonika-supporter-placebo"",""date"":""25/06/2006""},{""title"":""News - Live dei Deasonika al Jail di Legnano"",""url"":""http://www.rockit.it/news/live-deasonika-jail-legnano"",""date"":""16/05/2006""},{""title"":""Recensione - s/t"",""url"":""http://www.rockit.it/recensione/5424/deasonika-st"",""date"":""21/04/2006""},{""title"":""News - I Deasonika in tour"",""url"":""http://www.rockit.it/news/deasonika-tour"",""date"":""28/03/2006""},{""title"":""News - Deasonika: nuovo disco e Sanremo"",""url"":""http://www.rockit.it/news/deasonika-nuovo-disco-sanremo"",""date"":""01/03/2006""},{""title"":""Live Report - Deasonika + Dilaila @ Rockisland 2005 - Bottanuco"",""url"":""http://www.rockit.it/articolo/deasonika-dilaila-rockisland-2005-bottanuco"",""date"":""23/06/2005""},{""title"":""News - Si avvicina il Rockisland di Bottanuco (BG)"",""url"":""http://www.rockit.it/news/si-avvicina-rockisland-bottanuco-bg"",""date"":""06/06/2005""},{""title"":""News - Neapolis e Rockschool: ecco le selezioni"",""url"":""http://www.rockit.it/news/neapolis-rockschool-ecco-selezioni"",""date"":""25/05/2005""},{""title"":""News - Live a Lipomo con Macno e Deasonika"",""url"":""http://www.rockit.it/news/live-lipomo-macno-deasonika"",""date"":""16/05/2005""},{""title"":""News - Torna il Rockisland, a Bottanuco (BG)"",""url"":""http://www.rockit.it/news/torna-rockisland-bottanuco-bg"",""date"":""13/04/2005""},{""title"":""News - Deasonika e Macno live sullo stesso palco"",""url"":""http://www.rockit.it/news/deasonika-macno-live-sullo-stesso-palco"",""date"":""01/03/2005""},{""title"":""Intervista - Milano, 26-07-2004"",""url"":""http://www.rockit.it/intervista/milano-26-07-2004"",""date"":""06/12/2004""},{""title"":""Recensione - Piccoli dettagli al buio"",""url"":""http://www.rockit.it/recensione/3425/deasonika-piccoli-dettagli-al-buio"",""date"":""22/09/2004""},{""title"":""News - Live di Canali a Milano: si recupera venerdì!"",""url"":""http://www.rockit.it/news/live-canali-milano-si-recupera-venerdi"",""date"":""15/09/2004""},{""title"":""Recensione - Il giorno della mia sana follia (single)"",""url"":""http://www.rockit.it/recensione/3109/deasonika-il-giorno-della-mia-sana-follia-single"",""date"":""16/04/2004""},{""title"":""News - Rock TV Night al Rolling Stones giovedi!"",""url"":""http://www.rockit.it/news/rock-tv-night-rolling-stones-giovedi"",""date"":""22/04/2003""},{""title"":""Intervista - e-mail, 20-04-2002"",""url"":""http://www.rockit.it/intervista/e-mail-20-04-2002"",""date"":""08/05/2002""},{""title"":""News - Deasonika per Pagella Rock a Milano"",""url"":""http://www.rockit.it/news/deasonika-pagella-rock-milano"",""date"":""06/05/2002""},{""title"":""News - Il menù di \"Voci dalla Cantina\"..."",""url"":""http://www.rockit.it/news/menu-voci-dalla-cantina"",""date"":""23/04/2002""},{""title"":""News - \"Pagella Rock 2002\": il programma dettagliato"",""url"":""http://www.rockit.it/news/pagella-rock-2002-programma-dettagliato"",""date"":""23/04/2002""},{""title"":""News - La 26° puntata di \"RadioRockit\"..."",""url"":""http://www.rockit.it/news/26-puntata-radiorockit"",""date"":""22/04/2002""},{""title"":""News - Deasonika supporto ai Delta V"",""url"":""http://www.rockit.it/news/deasonika-supporto-ai-delta-v"",""date"":""20/03/2002""},{""title"":""Recensione - L’uomo del secolo"",""url"":""http://www.rockit.it/recensione/1429/deasonika-luomo-del-secolo"",""date"":""17/09/2001""}]"
3494	"Death Army"	"http://www.rockit.it/deatharmy"	"Band, Lombardia"	"0"	"Metal, Folk "	"url(/thumb700x250/foto/3348.jpg)"	"[""/user/axelkonig""]"	"\n<div class=""content-rece""><p>I Death Army nascono nel settembre 2001 fondati da Axel (chitarre, voce, clarinetto) e Franky (violino,voce,tastiere) l&apos;idea era di fondare un gruppo nel quale si esprimesse la volont&#xE0; di fare buona musica, che parlasse del legame che lega ognuno alla terra, delle antiche leggende che stanno perdendosi,ma che ognuno di noi conserva dentro.Le sonorit&#xE0; quindi vertono su una musica chiaramente Metal con influenze di musica celtica, medioevale e gotica.</p></div>\n"	"[]"	"[]"
3495	"Death By Pleasure"	"http://www.rockit.it/dbypleasure"	"Band, Trentino Alto Adige"	"4"	"Rock, Shoegaze "	"url(/thumb700x250/foto/19778.jpg)"	"[""/news/south-park-casa-mirto-no-hope"",""/recensione/21097/death-by-pleasure-waited-wasted"",""/recensione/10817/death-by-pleasure-merry-go-round"",""/user/casadelmirto""]"	"\n<div class=""content-rece""><p>I DBP (Death By Pleasure) sono un duo rock shoegaze di Trento. Paragonati a un pacchetto di caramelle assortite, inseriscono nei loro brani influenze di vario genere, dal blues alla White Stripes alle sonorit&#xE0; pi&#xE0; masticabili del rock californiano, dal noise lo-fi di gruppi come i Wavves e i No age, a loop elettronici che richiamano gli anni &apos;90. Nel 2009 registrano il loro primo album (Merry-Go-Round) in una baita distante dal caos della citt&#xE0;. A breve il disco sar&#xE0; acquistabile in formato digitale, accompagnato da singoli-promo gratuiti.</p></div>\n"	"[{""name"":""Waited, Wasted"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21097.jpg"",""link"":""http://www.rockit.it/dbypleasure/album/waited-wasted/21097""},{""name"":""Blind Mind - Single"",""date"":"" 2010 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/13431.jpg"",""link"":""http://www.rockit.it/dbypleasure/album/blind-mind-single/13431""},{""name"":""Merry-Go-Round"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/10817.jpg"",""link"":""http://www.rockit.it/dbypleasure/album/merry-go-round/10817""}]"	"[{""title"":""News - No Hope, la web serie dei Casa del Mirto · Il nuovo cartone by Marco Ricci e Luigi Segnana"",""url"":""http://www.rockit.it/news/south-park-casa-mirto-no-hope"",""date"":""08/01/2014""},{""title"":""Recensione - Waited, Wasted · Il duo piromane devasta tutto: signore e signori, questo è lo \"shitgaze\""",""url"":""http://www.rockit.it/recensione/21097/death-by-pleasure-waited-wasted"",""date"":""15/12/2012""},{""title"":""Recensione - Merry-Go-Round"",""url"":""http://www.rockit.it/recensione/10817/death-by-pleasure-merry-go-round"",""date"":""22/02/2010""}]"
3496	"death disco"	"http://www.rockit.it/deathdisco"	"Band, Torino, Piemonte"	"0"	"New-Wave, Indie, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/19054/death-disco-end-is-beginning"",""/user/deathdisco""]"	"\n<div class=""content-rece""><p>Something between Pixies, Sonic Youth and Cure.</p> <p>La band nasce nel giugno 2009 quando Fabio Raducci, voce e chitarra comincia a lavorare alle prime bozze che andranno a far parte del primo EP autoprodotto della band.<br>\nSi uniscono in seguito il tastierista Daniele Bosticco, il bassista Enzo Morreale e il batterista Andrea Cilano.<br>\nNascono cos&#xEC; i Death Disco, completati nel gennaio 2011 dall&apos;arrivo del secondo chitarrista Fabio Lorusso che spinge sempre pi&#xF9; la band verso pezzi pi&#xF9; strutturati e completi.<br>\nLa band inizia a lavorare su suoni dalle atmosfere scure, a volte malinconiche, considerati ideali accompagnamenti ai testi dallo spiccato senso esistenzialista. Definiti da un magazine francese come &quot;immaginate Frank Balck che incontra Thurston Moore a un concerto dei Cure ! Una band che unisce l&apos;indie rock alla new wave alla Smith e New Order, umori scuri e riff atmosferici e feroci&quot;.<br>\nIl respiro internazionale dei pezzi proposti ha permesso alla band di esibirsi, oltre che in Italia anche all&apos;estero (UK, Irlanda, Francia).</p></div>\n"	"[{""name"":""End Is Beginning"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19054.jpg"",""link"":""http://www.rockit.it/deathdisco/album/end-is-beginning/19054""}]"	"[{""title"":""Recensione - End Is Beginning · Da Torino viene l’ennesimo gruppo dedito alla new wave, risuonata e pure male. Che ne dite? La recensione ne può parlare bene? (ironico NdA)"",""url"":""http://www.rockit.it/recensione/19054/death-disco-end-is-beginning"",""date"":""17/12/2012""}]"
