"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
139	"404 Not Found"	"http://www.rockit.it/404notfound"	"Band, Liguria"	"1"	"Stoner, Psichedelico, Hard Rock "	"url(/thumb700x250/foto/4261.jpg)"	"[""/user/schafausen""]"	"\n<div class=""content-rece""><p>Lavoro raffinato ed elegante questo &#x201C;Armless&#x201D; dei debuttanti 404 Not Found. Spuntati decisamente dal nulla, i nostri nascondono nelle proprie fila l&#x2019;accoppiata Bottari/Pagnacco (storica sezione ritmica degli indimenticati Vanexa), un chitarrista albanese descritto (sicuramente a ragione) come uno dei pi&#xF9; rappresentativi del proprio paese ed un cantante, Gianmarco Cabras, espressivo e molto convincente. Una band al debutto ma gi&#xE0; completamente a suo agio, in grado di dar vita ad un &#x201C;esperimento&#x201D; musicale molto interessante come questo &#x201C;Armless&#x201D;. A cavallo tra heavy metal ed hard rock psichedeli&#x2026;</p></div>\n"	"[{""name"":""Armless"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/7070.jpg"",""link"":""http://www.rockit.it/404notfound/album/armless/7070""}]"
140	"404 Page Not Found"	"http://www.rockit.it/404pageband"	"Band, Cisterna Di Latina (LT), Lazio"	"0"	"Psichedelico, Noise, New-Wave "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/404PageNotFound""]"	"\n<div class=""content-rece""><p>Siamo i &quot;404 Page Not Found&quot;,un trio di Cisterna di Latina.</p> <p>I 404 Page Not Found nascono da Matteo Ferrante, chitarrista, e suo cugino Alessio Mulattieri,tastierista. La collaborazione tra i due inizia gi&#xE0; nel 2012,anno nel quale cominciano a testare il loro sound con vari batteristi.Trovano poi l&apos;equilibrio con Daniele Gentili con quale il gruppo vero e proprio viene a prendere forma.<br>\nLe prove iniziano a Gennaio 2013 e subito i brani iniziano a prendere definizione, le diverse impronte musicali dei 3 si conciliano in un mix di new wave,noise-rock e psychedelic-rock.</p></div>\n"	"[{""name"":""What An Abstraction Is EP"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/404pageband/album/what-an-abstraction-is-ep/23975""}]"
141	"40watt"	"http://www.rockit.it/40watt"	"Band, Lombardia"	"1"	"Rock, Progressive, Pop "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/940/40watt-tra-le-ombre""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Tra le ombre"",""date"":"" 2000 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/40watt/album/tra-le-ombre/940""}]"
142	"41Chains"	"http://www.rockit.it/41chains"	"Band, Basilicata"	"0"	"Dark "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
143	"440MHz"	"http://www.rockit.it/440MHz"	"Band, Terrazzo (VR), Veneto"	"0"	"Rock "	"url(/thumb700x250/foto/28800.jpg)"	"[""/user/440MHz""]"	"\n<div class=""content-rece""></div>\n"	"[]"
144	"4Esprit"	"http://www.rockit.it/4esprit"	"Band, Svizzera Italiana"	"0"	"Punk, Alternativo, Nu-Metal "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/pico""]"	"\n<div class=""content-rece""></div>\n"	"[]"
145	"4EsT"	"http://www.rockit.it/4EsT"	"Band, Vesuvio city (NA), Campania"	"0"	"Punk, Elettronico "	"url(/thumb700x250/foto/100270.jpg)"	"[""/user/daniele4EsT""]"	"\n<div class=""content-rece""><p>DJ/Vocalist/Mc</p> <p>4EsT (fur&#xE8;st)<br>\ndal latino forestis/selvaggio;<br>\nessere selvatico, schivo e per niente mondano, dai modi a volte grezzi e diretti ma schietti ed efficaci.<br>\nVive sui monti e a volte esce allo scoperto lasciando le sue tracce su CD...<br>\nHa collaborato con la storica scena dub/elettronica italiana e a quella straniera. Con Zul&#xF9;&apos; dei 99posse (Almukawama), con gli Almamegretta nei loro djset e nel progetto Dabol. La sua musica &#xE8; una fusione di stili differenti; spaziando da vocals rap al reggae fino alla melodia.</p></div>\n"	"[{""name"":""4EsT - O'Bbene & O'Mmale mixtape"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/24309.jpg"",""link"":""http://www.rockit.it/4EsT/album/4est-obbene-e-ommale-mixtape/24309""},{""name"":""SISMA-Dabol"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21393.jpg"",""link"":""http://www.rockit.it/4EsT/album/sisma-dabol/21393""},{""name"":""\"ALMUKAWAMA\" ZULU' (99posse) feat 4EsT"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21392.jpg"",""link"":""http://www.rockit.it/4EsT/album/almukawama-zulu-99posse-feat-4est/21392""}]"
146	"4ever21"	"http://www.rockit.it/4ever21"	"Band, Lazio"	"0"	"Indie "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/news/compilation-anche-beautiful-freaks""]"	"\n<div class=""content-rece""></div>\n"	"[]"
147	"4FeedBack"	"http://www.rockit.it/4feedback"	"Band, Piemonte"	"0"	"Grunge "	"url(/thumb700x250/foto/2477.jpg)"	"[""/recensione/3174/4feedback-promo"",""/user/4feedback""]"	"\n<div class=""content-rece""><p>4FeedBack nascono a Torino nel Gennaio del 2002, da un&apos;idea di Edoardo, Mirko e Dario... Per circa un&apos;anno i 3 ragazzi hanno suonato in un&apos;altro gruppo, ma in seguito per motivi di incompatibilit&#xE0; di genere musicale hanno deciso di abbandonare quel progetto. In tutto sono una 15^ i concerti che per ora i 3 ragazzi hanno fatto, tra locali e piazze. Nel gennaio del 2003 il gruppo decide di aggiungere un quarto elemento per colmare la mancanza di rumori all&apos;interno delle loro sonorit&#xE0;, e cos&#xEC; entra a far parte della band Furfi...</p></div>\n"	"[{""name"":""promo"",""date"":"" 2003 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/3174.jpg"",""link"":""http://www.rockit.it/4feedback/album/promo/3174""}]"
148	"4Monkeys"	"http://www.rockit.it/4Monkeys"	"Band, Genova, Liguria"	"1"	"Rock, Punk rock "	"url(/thumb700x250/foto/115627.jpg)"	"[""/user/4monkeys""]"	"\n<div class=""content-rece""><p>Mammifero appartenente all&apos;ordine dei Primati, comprendente numerose specie diffuse spec. in Asia, Africa e America Ama il rock di stampo Americano.</p> <p>Carlo: Voce<br>\nAle: Chitarra<br>\nVinx: Basso<br>\nNico: Batteria</p></div>\n"	"[{""name"":""4monkeys - Ossigeno (feat. Seth dei Fumonero)"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/4Monkeys/album/4monkeys-ossigeno-feat-seth-dei-fumonero/30908""},{""name"":""4Monkeys"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/4Monkeys/album/4monkeys/29698""}]"
